request_id,t_submit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,e2e_s
r1,1790358512.422318,1790358512.441918,1790358515.741976,25,111,0.019600,3.319658
r2,1790358515.741996,1790358515.776310,1790358523.609232,14,256,0.034314,7.867236
r3,1790358523.609252,1790358523.625045,1790358533.733717,24,256,0.015793,10.124465
r4,1790358533.733740,1790358533.777647,1790358544.830304,26,256,0.043907,11.096563
r5,1790358544.830449,1790358544.851634,1790358551.242504,38,256,0.021184,6.412055
r6,1790358544.831136,1790358544.886287,1790358551.266383,17,256,0.055150,6.435247
r7,1790358551.242527,1790358551.319223,1790358557.722609,66,256,0.076696,6.480082
r8,1790358551.266398,1790358551.349124,1790358557.746760,35,256,0.082727,6.480362
r9,1790358557.722651,1790358557.792458,1790358564.265833,19,256,0.069808,6.543182
r10,1790358557.746779,1790358557.830219,1790358564.288275,42,256,0.083440,6.541496
r11,1790358564.265853,1790358564.328580,1790358570.849083,14,256,0.062727,6.583230
r12,1790358564.288293,1790358564.362774,1790358570.870919,21,256,0.074481,6.582626
r13,1790358570.870987,1790358570.917993,1790358577.603439,21,256,0.047006,6.732451
r14,1790358570.871452,1790358570.961796,1790358577.631628,16,256,0.090344,6.760176
r15,1790358570.871784,1790358570.961799,1790358577.632031,29,256,0.090015,6.760247
r16,1790358570.872134,1790358570.961801,1790358577.632370,20,256,0.089667,6.760236
r17,1790358577.603461,1790358577.660114,1790358584.350235,33,256,0.056654,6.746775
r18,1790358577.631646,1790358577.698757,1790358584.375825,20,256,0.067111,6.744179
r19,1790358577.632043,1790358577.698761,1790358584.376208,19,256,0.066717,6.744165
r20,1790358577.632384,1790358577.698764,1790358581.975501,13,164,0.066380,4.343117
r21,1790358581.975531,1790358582.028016,1790358588.672798,19,256,0.052485,6.697267
r22,1790358584.350249,1790358584.403439,1790358591.039815,19,256,0.053190,6.689565
r23,1790358584.375844,1790358584.436413,1790358591.067089,18,256,0.060569,6.691245
r24,1790358584.376220,1790358584.436415,1790358591.067441,19,256,0.060196,6.691222
r25,1790358588.672815,1790358588.725580,1790358595.410844,20,256,0.052765,6.738029
r26,1790358591.039835,1790358591.095007,1790358597.793383,16,256,0.055172,6.753548
r27,1790358591.067106,1790358591.169250,1790358597.819129,14,256,0.102143,6.752023
r28,1790358591.067453,1790358591.169252,1790358597.819142,13,256,0.101799,6.751689
