request_id,t_submit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,e2e_s
r1,1790283808.008506,1790283808.100466,1790283808.670797,25,7,0.091960,0.662291
r2,1790283808.670822,1790283808.770818,1790283833.126073,14,256,0.099996,24.455251
r3,1790283833.126129,1790283833.217946,1790283839.195113,24,64,0.091817,6.068984
r4,1790283839.195135,1790283839.286708,1790283863.644582,26,256,0.091573,24.449447
