t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,prefill_tokens,decode_tokens,n_iters
1784664091.595867,0.2000,59.6056,2.296528e+11,4.647339e+12,4.640922e+12,80,228,15
1784664091.795867,0.2000,63.8573,2.299800e+11,3.531623e+12,3.531541e+12,0,234,15
1784664091.995867,0.2000,59.3564,2.297912e+11,3.984051e+12,3.981066e+12,37,227,15
1784664092.195867,0.2000,59.2364,2.298374e+11,4.496029e+12,4.491567e+12,57,241,15
1784664092.395867,0.2000,59.6781,2.304120e+11,4.284943e+12,4.283735e+12,16,268,15
1784664092.595867,0.2000,59.4807,2.309992e+11,4.588038e+12,4.586270e+12,22,282,15
1784664092.795867,0.2000,60.7850,2.158557e+11,4.332283e+12,4.330575e+12,19,268,14
1784664092.995867,0.2000,59.5794,2.312550e+11,4.937534e+12,4.932508e+12,55,272,15
1784664093.195867,0.2000,60.9095,2.155012e+11,4.000676e+12,3.998952e+12,18,247,14
1784664093.395867,0.2000,60.8180,2.305127e+11,3.624096e+12,3.623728e+12,0,240,15
1784664093.595867,0.2000,60.0041,2.289796e+11,3.441827e+12,3.437484e+12,49,179,15
1784664093.795867,0.2000,59.8703,2.282708e+11,3.363167e+12,3.359602e+12,48,175,15
1784664093.995867,0.2000,59.2616,2.430536e+11,2.608366e+12,2.608230e+12,0,173,16
1784664094.195868,0.2000,58.4573,2.278388e+11,2.127188e+12,2.127110e+12,0,141,15
1784664094.395867,0.2000,58.7395,2.280716e+11,2.037985e+12,2.037985e+12,0,135,15
1784664094.595868,0.2000,59.0554,2.430956e+11,2.550938e+12,2.548361e+12,30,139,16
1784664094.795867,0.2000,58.5924,2.278283e+11,1.963745e+12,1.961965e+12,18,112,15
1784664094.995868,0.2000,59.2580,2.280003e+11,2.220304e+12,2.217812e+12,27,120,15
1784664095.195868,0.2000,59.6653,2.430683e+11,2.822459e+12,2.818419e+12,49,138,16
1784664095.395868,0.2000,58.4135,2.277822e+11,2.503647e+12,2.502116e+12,20,146,15
1784664095.595868,0.2000,57.5440,2.272621e+11,2.336894e+12,2.334933e+12,30,125,15
1784664095.795868,0.2000,59.2325,2.265805e+11,2.589383e+12,2.587365e+12,45,127,15
1784664095.995868,0.2000,57.7062,2.415919e+11,3.159489e+12,3.157728e+12,46,164,16
1784664096.195868,0.2000,60.7362,2.268783e+11,3.114952e+12,3.113883e+12,30,177,15
1784664096.395868,0.2000,59.8302,2.422001e+11,4.003448e+12,4.000682e+12,65,201,16
1784664096.595868,0.2000,60.0187,2.273397e+11,4.485245e+12,4.481576e+12,91,207,15
1784664096.795868,0.2000,59.1634,2.429949e+11,3.478584e+12,3.478536e+12,0,231,16
1784664096.995868,0.2000,60.2796,2.281953e+11,3.781430e+12,3.779561e+12,33,218,15
1784664097.195868,0.2000,60.9844,2.285749e+11,4.203982e+12,4.201340e+12,46,233,15
1784664097.395868,0.2000,60.0529,2.288203e+11,4.355516e+12,4.352415e+12,48,241,15
1784664097.595868,0.2000,59.3296,2.292439e+11,4.778886e+12,4.774370e+12,68,249,15
1784664097.795868,0.2000,60.0872,2.297136e+11,3.875838e+12,3.875690e+12,0,257,15
1784664097.995868,0.2000,59.8164,2.299695e+11,3.621555e+12,3.621555e+12,0,240,15
1784664098.195868,0.2000,58.6383,2.305210e+11,5.040389e+12,5.034637e+12,70,264,15
1784664098.395868,0.2000,58.9499,2.305546e+11,3.774252e+12,3.773989e+12,0,250,15
1784664098.595869,0.2000,61.2727,2.300177e+11,4.618405e+12,4.612363e+12,71,235,15
1784664098.795868,0.2000,59.6669,2.295857e+11,3.756837e+12,3.755104e+12,20,229,15
1784664098.995869,0.2000,58.9866,2.293383e+11,3.078943e+12,3.078695e+12,0,204,15
1784664099.195868,0.2000,60.8155,2.135886e+11,3.742023e+12,3.736143e+12,75,173,14
