request_id,t_arrival,t_admit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,queue_s,tpot_s,error
mpc-0,1790359973.256050,1790359997.572487,1790359997.607011,1790359998.587488,15,38,24.350961,24.316437,0.026499,
mpc-1,1790359973.288772,1790359997.572954,1790359997.620487,1790360004.329333,34,256,24.331714,24.284182,0.026309,
mpc-2,1790359973.292966,1790359997.573291,1790359997.620490,1790360004.329342,46,256,24.327524,24.280324,0.026309,
mpc-3,1790359974.210398,1790359997.573598,1790359997.620493,1790360004.329349,18,256,23.410095,23.363200,0.026309,
mpc-4,1790359976.926652,1790359997.573827,1790359997.620496,1790360004.329355,14,256,20.693844,20.647175,0.026309,
mpc-5,1790359978.049385,1790359997.574038,1790359997.620499,1790360004.329362,17,256,19.571114,19.524653,0.026309,
mpc-6,1790359979.307483,1790359997.574268,1790359997.620501,1790360004.329368,39,256,18.313019,18.266786,0.026309,
mpc-7,1790359984.002801,1790359997.574524,1790359997.620504,1790360004.329373,11,256,13.617703,13.571723,0.026309,
mpc-8,1790359994.098839,1790359997.574713,1790359997.620506,1790360004.329378,17,256,3.521667,3.475874,0.026309,
mpc-9,1790359999.576511,1790360022.580842,1790360022.615957,1790360029.872267,15,256,23.039446,23.004331,0.028456,
mpc-10,1790359999.696924,1790360022.581300,1790360022.652623,1790360029.900928,27,256,22.955699,22.884375,0.028425,
mpc-11,1790360001.479859,1790360022.581627,1790360022.652627,1790360029.900938,44,256,21.172768,21.101768,0.028425,
mpc-12,1790360002.893904,1790360022.581958,1790360022.652629,1790360029.900946,26,256,19.758725,19.688054,0.028425,
mpc-13,1790360008.143997,1790360022.582238,1790360022.652632,1790360029.900952,20,256,14.508634,14.438241,0.028425,
mpc-14,1790360008.734075,1790360022.582499,1790360022.652634,1790360029.900957,15,256,13.918560,13.848425,0.028425,
mpc-15,1790360009.246161,1790360022.582747,1790360022.652636,1790360029.900963,22,256,13.406475,13.336586,0.028425,
mpc-16,1790360011.732964,1790360022.582998,1790360022.652638,1790360029.900970,13,256,10.919675,10.850034,0.028425,
mpc-17,1790360011.795151,1790360022.583218,1790360022.652641,1790360029.900976,16,256,10.857490,10.788067,0.028425,
mpc-18,1790360012.020340,1790360022.583434,1790360022.652643,1790360029.900981,27,256,10.632303,10.563093,0.028425,
mpc-19,1790360013.737617,1790360022.583661,1790360022.652646,1790360029.900987,20,256,8.915029,8.846044,0.028425,
mpc-20,1790360015.028089,1790360022.584014,1790360022.652648,1790360029.900992,36,256,7.624559,7.555925,0.028425,
mpc-21,1790360017.924767,1790360022.584315,1790360022.652651,1790360029.900997,38,256,4.727884,4.659548,0.028425,
mpc-22,1790360018.613726,1790360022.584605,1790360022.652653,1790360029.901003,15,256,4.038927,3.970880,0.028425,
mpc-23,1790360019.360415,1790360022.584835,1790360022.652655,1790360029.901008,24,256,3.292240,3.224420,0.028425,
mpc-24,1790360022.447653,1790360022.585073,1790360022.652658,1790360029.901014,15,256,0.205005,0.137420,0.028425,
mpc-25,1790360025.323152,1790360046.576864,1790360046.610371,1790360053.802779,15,256,21.287219,21.253713,0.028206,
mpc-26,1790360025.861634,1790360046.577308,1790360046.625303,1790360053.830143,17,256,20.763669,20.715674,0.028254,
mpc-27,1790360026.212954,1790360046.577585,1790360046.625306,1790360053.830156,39,256,20.412352,20.364631,0.028254,
mpc-28,1790360028.251662,1790360046.577880,1790360046.625308,1790360053.830163,51,256,18.373646,18.326218,0.028254,
mpc-29,1790360029.148947,1790360046.578208,1790360046.625311,1790360053.830168,14,256,17.476364,17.429261,0.028254,
mpc-30,1790360030.578426,1790360046.578416,1790360046.625313,1790360053.830174,37,256,16.046887,15.999990,0.028254,
mpc-31,1790360032.322100,1790360046.578663,1790360046.625316,1790360053.830180,18,256,14.303216,14.256564,0.028254,
mpc-32,1790360034.375257,1790360046.578873,1790360046.625318,1790360053.830187,27,256,12.250061,12.203615,0.028254,
mpc-33,1790360039.255737,1790360046.579100,1790360046.625321,1790360053.830192,34,256,7.369584,7.323363,0.028254,
mpc-34,1790360039.511439,1790360046.579366,1790360046.625323,1790360053.830197,39,256,7.113884,7.067927,0.028254,
mpc-35,1790360041.955163,1790360046.579635,1790360046.625326,1790360053.830202,18,256,4.670162,4.624472,0.028254,
mpc-36,1790360043.828355,1790360046.579842,1790360046.625328,1790360053.830207,28,256,2.796973,2.751487,0.028254,
mpc-37,1790360046.991549,1790360046.991569,1790360047.029936,1790360054.422054,21,256,0.038387,0.000020,0.028989,
mpc-38,1790360047.990516,1790360070.582077,1790360070.600524,1790360078.044398,37,256,22.610008,22.591561,0.029192,
mpc-39,1790360048.770912,1790360070.582532,1790360070.659604,1790360078.074489,32,256,21.888693,21.811620,0.029078,
mpc-40,1790360050.132977,1790360070.582821,1790360070.659608,1790360078.074498,15,256,20.526630,20.449844,0.029078,
mpc-41,1790360050.580720,1790360070.583044,1790360070.659610,1790360078.074505,22,256,20.078890,20.002325,0.029078,
mpc-42,1790360051.816973,1790360070.583295,1790360070.659612,1790360071.257238,20,20,18.842639,18.766322,0.031454,
mpc-43,1790360051.994060,1790360070.583503,1790360070.659615,1790360073.992964,30,115,18.665555,18.589443,0.029240,
mpc-44,1790360054.738417,1790360070.583736,1790360070.659618,1790360078.074511,66,256,15.921201,15.845319,0.029078,
mpc-45,1790360058.536959,1790360070.584060,1790360070.659620,1790360078.074518,17,256,12.122661,12.047101,0.029078,
mpc-46,1790360059.457381,1790360070.584274,1790360070.659623,1790360078.074524,24,256,11.202242,11.126893,0.029078,
mpc-47,1790360064.729236,1790360070.584488,1790360070.659625,1790360078.074530,20,256,5.930389,5.855252,0.029078,
mpc-48,1790360064.908623,1790360070.584707,1790360070.659627,1790360078.074535,21,256,5.751004,5.676083,0.029078,
mpc-49,1790360065.374105,1790360070.584916,1790360070.659629,1790360078.074540,38,256,5.285524,5.210810,0.029078,
mpc-50,1790360065.869872,1790360070.585167,1790360070.659635,1790360078.074546,34,256,4.789763,4.715296,0.029078,
mpc-51,1790360067.142448,1790360070.585406,1790360070.659637,1790360078.074551,35,256,3.517189,3.442957,0.029078,
mpc-52,1790360068.701667,1790360070.585642,1790360070.659640,1790360078.074560,31,256,1.957973,1.883976,0.029078,
mpc-53,1790360069.595145,1790360070.585876,1790360070.659642,1790360073.242538,26,89,1.064497,0.990731,0.029351,
mpc-54,1790360069.803139,1790360070.586084,1790360070.659644,1790360078.074565,24,256,0.856505,0.782945,0.029078,
mpc-55,1790360073.132527,1790360073.245621,1790360073.303986,1790360078.239478,17,170,0.171459,0.113095,0.029204,
mpc-56,1790360073.962060,1790360090.576113,1790360090.590793,1790360097.781653,25,256,16.628733,16.614053,0.028199,
