request_id,t_arrival,t_admit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,queue_s,tpot_s,error
polca-0,1790359643.242512,1790359643.244742,1790359643.279230,1790359644.217693,15,38,0.036718,0.002230,0.025364,
polca-1,1790359643.275525,1790359643.276609,1790359643.291541,1790359649.782379,34,256,0.016016,0.001084,0.025454,
polca-2,1790359643.278971,1790359643.282313,1790359643.328126,1790359649.807606,46,256,0.049155,0.003342,0.025410,
polca-3,1790359644.196221,1790359644.197311,1790359644.243791,1790359651.390611,18,256,0.047569,0.001090,0.028027,
polca-4,1790359646.912941,1790359652.546831,1790359652.561158,1790359659.166014,14,256,5.648217,5.633891,0.025901,
polca-5,1790359648.035704,1790359652.547573,1790359652.584882,1790359659.191632,17,256,4.549178,4.511869,0.025909,
polca-6,1790359649.293968,1790359652.547878,1790359652.584885,1790359659.191639,39,256,3.290917,3.253910,0.025909,
polca-7,1790359653.989121,1790359653.992211,1790359654.039096,1790359661.667672,11,256,0.049976,0.003090,0.029916,
polca-8,1790359664.084997,1790359664.089181,1790359664.103945,1790359675.556877,17,256,0.018949,0.004184,0.044913,
polca-9,1790359669.562524,1790359676.546941,1790359676.563207,1790359683.310553,15,256,7.000683,6.984417,0.026460,
polca-10,1790359669.683555,1790359676.548125,1790359676.575725,1790359683.336855,27,256,6.892170,6.864570,0.026514,
polca-11,1790359671.465620,1790359676.548466,1790359676.575728,1790359683.336865,44,256,5.110109,5.082847,0.026514,
polca-12,1790359672.880948,1790359676.548817,1790359676.575731,1790359683.336873,26,256,3.694783,3.667869,0.026514,
polca-13,1790359678.130711,1790359678.133796,1790359678.167263,1790359684.907218,20,256,0.036552,0.003085,0.026431,
polca-14,1790359678.720369,1790359683.338967,1790359683.403654,1790359693.836653,15,256,4.683285,4.618597,0.040914,
polca-15,1790359679.232778,1790359694.543178,1790359694.558263,1790359701.601469,22,256,15.325485,15.310400,0.027620,
