t,budget,p_1s,p_10s,q,oldest,n_run,arrivals,tokens,tpot,cap,ctrl_ms,info
0.0,100.0,59.404,59.404,0,0.0,0,0,0,0.0,64,0.006,{}
1.0,100.0,18.278,38.841,0,0.0,0,0,0,0.0,64,0.01,{}
2.0,100.0,33.811,37.164,0,0.0,3,3,30,0.02534,64,0.002,{}
3.0,100.0,99.428,52.73,0,0.0,3,1,117,0.0254,1,0.002,{}
4.0,100.0,99.549,62.094,0,0.0,3,0,120,0.02541,1,0.002,{}
5.0,100.0,99.576,68.341,0,0.0,3,0,117,0.0253,1,0.001,{}
6.0,100.0,99.558,72.801,1,0.63,3,1,120,0.02544,1,0.002,{}
7.001,100.0,99.548,76.144,2,1.631,3,1,117,0.02547,1,0.002,{}
8.0,100.0,99.549,78.745,3,2.63,3,1,117,0.02552,1,0.002,{}
9.001,100.0,99.446,80.815,3,3.63,1,0,48,0.03162,0,0.001,{}
10.001,100.0,98.108,82.387,3,4.631,0,0,20,0.04399,0,0.006,{}
11.001,100.0,61.696,80.663,3,5.631,0,0,0,0.0,8,0.006,{}
12.001,100.0,95.27,81.786,0,0.0,3,0,112,0.02626,8,0.001,{}
13.001,100.0,99.095,83.023,0,0.0,4,1,137,0.02571,2,0.002,{}
14.0,100.0,99.538,84.124,0,0.0,4,0,156,0.0258,2,0.002,{}
15.0,100.0,99.542,85.087,0,0.0,4,0,152,0.02586,2,0.002,{}
16.001,100.0,99.54,85.937,0,0.0,4,0,156,0.02584,2,0.002,{}
17.0,100.0,99.537,86.693,0,0.0,4,0,156,0.02597,2,0.001,{}
18.001,100.0,99.6,87.372,0,0.0,1,0,107,0.02731,0,0.001,{}
19.001,100.0,99.044,87.956,0,0.0,1,0,22,0.04449,0,0.001,{}
20.001,100.0,99.229,89.947,0,0.0,1,0,23,0.0442,0,0.001,{}
21.001,100.0,71.835,92.625,0,0.0,0,0,3,0.04413,8,0.002,{}
22.001,100.0,61.118,93.99,0,0.0,0,0,0,0.0,16,0.007,{}
23.001,100.0,76.164,92.827,0,0.0,1,1,10,0.04496,24,0.002,{}
24.0,100.0,99.089,92.804,0,0.0,1,0,22,0.04576,0,0.001,{}
25.001,100.0,99.277,92.789,0,0.0,1,0,22,0.04566,0,0.001,{}
26.001,100.0,99.209,92.772,0,0.0,1,0,22,0.04593,0,0.002,{}
27.0,100.0,99.371,92.763,0,0.0,1,0,22,0.04556,0,0.001,{}
28.001,100.0,99.311,92.751,0,0.0,1,0,22,0.04511,0,0.002,{}
29.0,100.0,99.202,92.739,2,0.98,1,2,22,0.04437,0,0.001,{}
30.0,100.0,99.224,92.795,3,1.98,1,1,23,0.04424,0,0.001,{}
31.0,100.0,99.245,94.672,3,2.98,1,0,22,0.0447,0,0.001,{}
32.0,100.0,99.071,94.862,4,3.98,1,1,23,0.0445,0,0.001,{}
33.001,100.0,99.553,94.885,4,4.981,1,0,23,0.04346,0,0.001,{}
34.0,100.0,99.062,94.861,4,5.98,1,0,22,0.04483,0,0.002,{}
35.0,100.0,68.177,93.293,4,6.98,0,0,1,0.04538,8,0.002,{}
36.0,100.0,94.888,93.06,0,0.0,4,0,149,0.02637,8,0.002,{}
37.001,100.0,99.257,93.046,0,0.0,5,1,166,0.0263,2,0.001,{}
38.001,100.0,99.432,93.038,2,0.823,5,2,190,0.02642,2,0.001,{}
39.001,100.0,99.522,93.062,2,1.823,5,0,190,0.02658,2,0.001,{}
40.0,100.0,99.473,93.074,2,2.823,5,0,185,0.02664,2,0.001,{}
41.0,100.0,99.55,94.46,5,3.822,5,3,190,0.0266,2,0.001,{}
42.001,100.0,99.436,96.376,4,4.31,2,0,162,0.0268,1,0.001,{}
43.001,100.0,99.351,97.535,5,5.31,2,1,78,0.02543,1,0.002,{}
44.0,100.0,99.654,97.563,6,6.31,1,1,43,0.03138,0,0.002,{}
45.0,100.0,99.08,97.553,6,7.31,1,0,22,0.0468,0,0.001,{}
46.001,100.0,99.174,97.552,6,8.31,1,0,21,0.04657,0,0.001,{}
