episode,controller,energy_j,tokens,j_per_tok,done,left,mean_w,ttft_p50,ttft_p99,ttft_viol,tpot_p50,tpot_p99,bviol_1s,bviol_win,over_j,ctrl_ms_mean,ctrl_ms_max
mpc_rep0,mpc,20511.186168062566,40246,0.5096453353889223,165,0,66.81155986318981,11.10537,26.536809639999944,0.0,0.028425,0.030108079999999968,0.11960132890365449,0.0,0.0,23.06304234527687,50.027
mpc_rep1,mpc,21897.760676244856,86526,0.253077233158182,370,0,71.09609195761006,9.454765,27.56253982,0.0,0.035773,0.038523510000000004,0.17275747508305647,0.09966777408637874,42.614126556294295,30.899084415584415,68.513
mpc_rep2,mpc,22148.578856067536,88750,0.24956145189935253,371,0,71.91052643957205,10.0177,27.421182500000008,0.0,0.036169,0.0400568,0.18272425249169436,0.07308970099667775,28.677812962156594,30.81836363636364,67.905
pi_rep0,pi,28786.15892351854,40111,0.7176624597621236,165,0,93.46090592328795,6.293296,106.43410732,0.296969696969697,0.031807,0.04555504,0.24584717607973422,0.2823920265780731,504.9051845,0.03179545454545455,0.102
pi_rep1,pi,28401.557846187592,86835,0.32707500254721705,370,0,92.81513096143205,57.173728,122.26830436,0.7648648648648648,0.043648,0.04579895,0.22259136212624583,0.23920265780730898,414.51563100000027,0.0319640522875817,0.221
pi_rep2,pi,28537.93822777128,88806,0.3213514653038227,371,0,92.95682761474896,51.431665,122.94384020000001,0.7331536388140162,0.042757,0.0457647,0.22591362126245848,0.24916943521594684,402.7111825000007,0.029977198697068403,0.211
polca_rep0,polca,30113.585987234354,39931,0.754140542116009,165,0,97.1401433329774,33.054523,61.72988971999997,0.5454545454545454,0.027661,0.046318279999999996,0.3787375415282392,0.39867109634551495,1759.7810975000007,0.0014000000000000004,0.01
polca_rep1,polca,33520.44211104119,86676,0.3867326839152844,370,0,97.72692759862011,94.7975205,162.20993612,0.8702702702702703,0.0451725,0.04674833,0.37209302325581395,0.39867109634551495,1740.7610160000004,0.0013673469387755104,0.006
polca_rep2,polca,33459.43824415398,88771,0.376918568498203,371,0,97.54882323666585,100.437473,172.36251170000003,0.8814016172506739,0.045162,0.0468477,0.3787375415282392,0.39867109634551495,1744.5025075000003,0.0013090379008746358,0.006
static64_rep0,static64,30641.43689142299,39986,0.7663041287306305,165,0,98.84282582765324,0.044324,0.08085707999999997,0.0,0.026749,0.03642531999999995,0.3953488372093023,0.39867109634551495,1954.3018720000007,0.0010193548387096775,0.005
static64_rep1,static64,30389.875651057366,86493,0.3513564756807761,370,0,99.31285159609924,0.050064,0.07041014000000001,0.0,0.0295745,0.03429595,0.39867109634551495,0.39867109634551495,1975.6849710000008,0.0009869281045751636,0.001
static64_rep2,static64,30498.182566064475,88272,0.3455023401085789,371,0,99.34218503675487,0.050287,0.0720176,0.0,0.029909,0.0352153,0.39867109634551495,0.39867109634551495,1974.015137500001,0.0009967426710097722,0.001
