t,budget,p_1s,p_10s,q,oldest,n_run,arrivals,tokens,tpot,cap,ctrl_ms,info
0.0,100.0,59.404,59.404,0,0.0,0,0,0,0.0,0,6.568,"{""cost"": 1782.1350000000011, ""theta"": 1, ""cap"": 8, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.0, ""gain"": 1.0}"
1.001,100.0,18.483,38.944,1,0.636,0,1,0,0.0,0,14.498,"{""cost"": 1862.231919941748, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.3, ""gain"": 1.0}"
2.0,100.0,18.449,32.112,2,1.635,0,1,0,0.0,0,18.068,"{""cost"": 1902.2803799126214, ""theta"": 16, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.51, ""gain"": 1.0}"
3.001,100.0,18.467,28.701,3,2.636,0,1,0,0.0,0,19.375,"{""cost"": 1942.3288398834948, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.657, ""gain"": 1.0}"
4.0,100.0,18.453,26.651,3,3.635,0,0,0,0.0,0,25.628,"{""cost"": 1982.3772998543682, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.4599, ""gain"": 1.0}"
5.0,100.0,18.44,25.283,4,4.635,0,1,0,0.0,0,32.357,"{""cost"": 2022.4257598252416, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.6219299999999999, ""gain"": 1.0}"
6.0,100.0,18.395,24.299,4,5.635,0,0,0,0.0,0,19.208,"{""cost"": 2062.474219796115, ""theta"": 16, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.4353509999999999, ""gain"": 1.0}"
7.0,100.0,18.397,23.561,7,6.635,0,3,0,0.0,0,24.77,"{""cost"": 2102.5226797669884, ""theta"": 48, ""cap"": 64, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 1.2047456999999997, ""gain"": 1.0}"
8.001,100.0,18.369,22.984,8,7.636,0,1,0,0.0,0,25.144,"{""cost"": 2142.571139737862, ""theta"": 48, ""cap"": 64, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 1.1433219899999998, ""gain"": 1.0}"
9.0,100.0,18.308,22.517,9,8.635,0,1,0,0.0,0,25.651,"{""cost"": 2182.619599708735, ""theta"": 32, ""cap"": 64, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 1.1003253929999999, ""gain"": 1.0}"
10.0,100.0,18.293,22.133,10,9.635,0,1,0,0.0,0,26.164,"{""cost"": 2222.6680596796086, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 1.0702277750999998, ""gain"": 1.0}"
11.001,100.0,18.346,21.817,10,10.635,0,0,0,0.0,0,42.23,"{""cost"": 2114.907930806508, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.7491594425699998, ""gain"": 1.0}"
12.001,100.0,18.387,21.553,11,11.636,0,1,0,0.0,0,33.606,"{""cost"": 2292.0849939399445, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""cont"", ""lam"": 0.8244116097989997, ""gain"": 1.0}"
13.001,100.0,18.162,21.311,12,12.636,0,1,0,0.0,0,25.684,"{""cost"": 2327.7394342223547, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""cont"", ""lam"": 0.8770881268592998, ""gain"": 1.0}"
14.0,100.0,18.125,21.099,12,13.635,0,0,0,0.0,0,23.714,"{""cost"": 2271.5034653765347, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""cont"", ""lam"": 0.6139616888015098, ""gain"": 1.0}"
15.001,100.0,18.209,20.918,12,14.635,0,0,0,0.0,0,21.59,"{""cost"": 2196.155654008369, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""cont"", ""lam"": 0.42977318216105687, ""gain"": 1.0}"
16.0,100.0,18.164,20.756,12,15.635,0,0,0,0.0,0,20.075,"{""cost"": 2162.239080040388, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.3008412275127398, ""gain"": 1.0}"
17.0,100.0,18.211,20.615,13,16.635,0,1,0,0.0,0,23.005,"{""cost"": 2256.436504379224, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""cont"", ""lam"": 0.5105888592589178, ""gain"": 1.0}"
18.001,100.0,18.246,20.49,13,17.636,0,0,0,0.0,0,21.1,"{""cost"": 2188.0650187613205, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""cont"", ""lam"": 0.3574122014812425, ""gain"": 1.0}"
19.001,100.0,18.23,20.377,13,18.635,0,0,0,0.0,0,19.908,"{""cost"": 2153.60432529215, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""cont"", ""lam"": 0.2501885410368697, ""gain"": 1.0}"
20.001,100.0,18.301,18.322,14,19.636,0,1,0,0.0,0,22.979,"{""cost"": 2266.059341372172, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""cont"", ""lam"": 0.4751319787258088, ""gain"": 1.0}"
21.0,100.0,18.232,18.309,14,20.635,0,0,0,0.0,0,20.572,"{""cost"": 2197.19092372229, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.33259238510806616, ""gain"": 1.0}"
