request_id,t_arrival,t_admit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,queue_s,tpot_s,error
polca-0,1790361969.034285,1790361969.035444,1790361969.068784,1790361975.889837,17,256,0.034498,0.001159,0.026749,
polca-1,1790361969.889999,1790361969.894080,1790361969.929122,1790361976.772051,18,256,0.039123,0.004081,0.026835,
polca-2,1790361971.068367,1790361977.672603,1790361977.687555,1790361984.694596,25,256,6.619188,6.604236,0.027479,
polca-3,1790361973.090261,1790361977.673732,1790361977.714241,1790361984.721808,22,256,4.623980,4.583471,0.027481,
polca-4,1790361975.324063,1790361977.674074,1790361977.714244,1790361984.721817,13,256,2.390181,2.350011,0.027481,
polca-5,1790361975.411117,1790361977.674376,1790361977.714247,1790361984.721825,29,256,2.303130,2.263259,0.027481,
polca-6,1790361975.663493,1790361977.674691,1790361977.714249,1790361984.721833,16,256,2.050756,2.011199,0.027481,
polca-7,1790361975.951072,1790361977.674980,1790361977.714252,1790361984.721839,23,256,1.763180,1.723908,0.027481,
polca-8,1790361976.875044,1790361977.675286,1790361977.714254,1790361984.721845,34,256,0.839211,0.800242,0.027481,
polca-9,1790361978.420640,1790361978.421718,1790361978.477931,1790361985.462489,30,256,0.057291,0.001078,0.027390,
polca-10,1790361980.200703,1790361984.724932,1790361984.793837,1790361991.386483,48,256,4.593134,4.524229,0.025854,
polca-11,1790361980.938192,1790361984.725348,1790361984.793840,1790361991.386493,25,256,3.855649,3.787156,0.025854,
polca-12,1790361985.587479,1790361985.587502,1790361985.615672,1790361992.828096,28,256,0.028193,0.000023,0.028284,
polca-13,1790361988.341123,1790361993.671935,1790361993.685718,1790361996.504065,13,109,5.344595,5.330811,0.026096,
polca-14,1790361993.057120,1790361993.672272,1790361993.699665,1790362000.347404,38,256,0.642545,0.615152,0.026070,
polca-15,1790361993.203847,1790361993.672605,1790361993.699668,1790362000.347414,19,256,0.495821,0.468758,0.026070,
polca-16,1790361994.241106,1790361994.242276,1790361994.292475,1790362001.391619,23,256,0.051369,0.001170,0.027840,
polca-17,1790361997.310286,1790362002.670243,1790362002.684752,1790362009.771448,79,256,5.374466,5.359957,0.027791,
polca-18,1790361999.867090,1790362002.670742,1790362002.736043,1790362009.799619,30,256,2.868953,2.803652,0.027700,
polca-19,1790362000.420648,1790362002.671024,1790362002.736046,1790362009.799629,24,256,2.315398,2.250376,0.027700,
polca-20,1790362000.907052,1790362002.671283,1790362002.736048,1790362009.799637,23,256,1.828997,1.764232,0.027700,
polca-21,1790362001.481565,1790362002.671524,1790362002.736051,1790362009.799643,107,256,1.254486,1.189959,0.027700,
polca-22,1790362001.759836,1790362002.671986,1790362002.736053,1790362009.799651,25,256,0.976217,0.912150,0.027700,
polca-23,1790362002.012345,1790362002.672225,1790362002.736056,1790362009.799657,31,256,0.723711,0.659880,0.027700,
polca-24,1790362002.121485,1790362002.672464,1790362002.736058,1790362009.799662,18,256,0.614574,0.550979,0.027700,
polca-25,1790362002.310615,1790362009.802810,1790362009.826760,1790362016.506311,17,256,7.516144,7.492194,0.026194,
polca-26,1790362003.008316,1790362009.803567,1790362009.864256,1790362016.532557,18,256,6.855940,6.795251,0.026150,
polca-27,1790362003.434395,1790362009.803910,1790362009.864259,1790362013.123816,29,125,6.429864,6.369515,0.026287,
polca-28,1790362004.391229,1790362009.804250,1790362009.864262,1790362016.532566,17,256,5.473033,5.413021,0.026150,
polca-29,1790362004.752473,1790362016.533712,1790362016.558128,1790362028.389851,15,256,11.805655,11.781239,0.046399,
polca-30,1790362004.938101,1790362029.669028,1790362029.682614,1790362036.774032,17,256,24.744513,24.730927,0.027809,
polca-31,1790362005.468139,1790362029.669398,1790362029.697256,1790362036.802011,19,256,24.229116,24.201259,0.027862,
polca-32,1790362007.229072,1790362029.669677,1790362029.697259,1790362036.802021,30,256,22.468187,22.440605,0.027862,
polca-33,1790362007.704776,1790362029.669953,1790362029.697261,1790362036.802029,38,256,21.992486,21.965177,0.027862,
polca-34,1790362008.199525,1790362029.670238,1790362029.697264,1790362036.802035,17,256,21.497740,21.470713,0.027862,
polca-35,1790362009.166586,1790362029.670456,1790362029.697267,1790362036.112593,48,231,20.530680,20.503870,0.027893,
polca-36,1790362012.466052,1790362029.670746,1790362029.697269,1790362036.802041,27,256,17.231217,17.204694,0.027862,
polca-37,1790362013.246385,1790362029.670972,1790362029.697271,1790362036.802047,31,256,16.450886,16.424587,0.027862,
polca-38,1790362013.429516,1790362036.806149,1790362036.829429,1790362043.503483,24,256,23.399912,23.376632,0.026173,
polca-39,1790362015.424861,1790362036.806534,1790362036.863448,1790362043.530090,15,256,21.438587,21.381673,0.026144,
polca-40,1790362015.844786,1790362036.806862,1790362036.863451,1790362043.530099,33,256,21.018666,20.962076,0.026144,
polca-41,1790362016.278191,1790362043.534251,1790362043.559773,1790362055.502843,15,256,27.281582,27.256060,0.046836,
polca-42,1790362016.413290,1790362056.673667,1790362056.688173,1790362063.815021,13,256,40.274883,40.260377,0.027948,
polca-43,1790362017.750357,1790362056.674026,1790362056.736162,1790362063.843077,13,256,38.985806,38.923669,0.027870,
polca-44,1790362018.954930,1790362056.674352,1790362056.736166,1790362063.843086,26,256,37.781236,37.719423,0.027870,
polca-45,1790362020.440651,1790362056.674691,1790362056.736168,1790362063.843093,36,256,36.295517,36.234040,0.027870,
polca-46,1790362024.885910,1790362056.675037,1790362056.736171,1790362063.843099,25,256,31.850261,31.789127,0.027870,
polca-47,1790362025.544017,1790362056.675366,1790362056.736173,1790362058.656218,76,69,31.192157,31.131349,0.028236,
polca-48,1790362028.484888,1790362056.675823,1790362056.736176,1790362063.843105,20,256,28.251289,28.190936,0.027870,
polca-49,1790362029.060386,1790362056.676122,1790362056.736179,1790362063.843116,25,256,27.675793,27.615736,0.027870,
polca-50,1790362031.621943,1790362063.847200,1790362063.873195,1790362070.570124,24,256,32.251252,32.225257,0.026262,
polca-51,1790362032.081541,1790362063.847581,1790362063.897258,1790362070.596443,24,256,31.815717,31.766040,0.026271,
polca-52,1790362032.835087,1790362063.847925,1790362063.897261,1790362070.596452,34,256,31.062174,31.012838,0.026271,
polca-53,1790362033.385226,1790362070.598542,1790362070.621913,1790362082.627189,27,256,37.236687,37.213316,0.047080,
polca-54,1790362033.565044,1790362083.673835,1790362083.688151,1790362087.105974,33,123,50.123106,50.108790,0.028015,
polca-55,1790362034.869032,1790362083.674551,1790362083.701741,1790362090.807328,19,256,48.832709,48.805518,0.027865,
polca-56,1790362035.868399,1790362083.674887,1790362083.701744,1790362090.807338,51,256,47.833345,47.806488,0.027865,
polca-57,1790362035.939552,1790362083.675267,1790362083.701747,1790362090.807346,35,256,47.762195,47.735715,0.027865,
polca-58,1790362038.364084,1790362083.675610,1790362083.701749,1790362090.807352,22,256,45.337665,45.311527,0.027865,
polca-59,1790362039.060856,1790362083.675907,1790362083.701751,1790362090.807358,15,256,44.640894,44.615051,0.027865,
polca-60,1790362043.925410,1790362083.676189,1790362083.701753,1790362090.807363,15,256,39.776342,39.750779,0.027865,
polca-61,1790362046.063228,1790362083.676450,1790362083.701755,1790362089.077907,15,193,37.638527,37.613222,0.028001,
polca-62,1790362046.364010,1790362090.811444,1790362090.834509,1790362095.892253,15,193,44.470498,44.447433,0.026342,
polca-63,1790362047.405885,1790362090.811788,1790362090.870978,1790362097.135139,17,240,43.465093,43.405904,0.026210,
polca-64,1790362049.412510,1790362090.812117,1790362090.870981,1790362097.867891,14,256,41.458471,41.399607,0.027439,
polca-65,1790362050.585788,1790362099.671828,1790362099.686627,1790362102.274130,17,93,49.100838,49.086039,0.028125,
