model,e_bit_j_per_byte,e_flop_pJ_per_flop,p_none,r2_dyn,identifiable,bytes_flops_r,ai_span_ratio,n_bins
Meta-Llama-3-8B,1.7759715958146473e-10,0.808964016551481,,-1.5335021434438922,True,-0.814791327748784,3603.227283465562,2392
Mistral-7B-v0.1,1.8404100699193885e-10,0.902594988256268,,-5.53711516887107,True,-0.6835692293933633,7668.044130523246,2408
Qwen2-7B-Instruct,1.8204356600257732e-10,0.6925317334518206,,-2.7054074541261444,True,-0.7389005573875946,3903.5716381363145,2382
gemma-7b,1.8291337811330448e-10,0.7483745280950915,,-1.2530226957001278,True,-0.7010193229291726,4468.838948100666,2431
