request_id,t_submit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,e2e_s
r1,1790282762.024347,1790282762.269371,1790282774.940463,561,256,0.245024,12.916116
r2,1790282762.026892,1790282762.642715,1790282774.984656,12,256,0.615823,12.957765
r3,1790282762.027336,1790282762.642719,1790282774.985456,210,256,0.615383,12.958119
r4,1790282762.028248,1790282762.642723,1790282774.986128,20,256,0.614475,12.957880
r5,1790282762.028627,1790282762.642726,1790282774.986823,12,256,0.614099,12.958196
r6,1790282762.028936,1790282762.642729,1790282774.987895,5,256,0.613793,12.958959
r7,1790282762.029196,1790282762.642733,1790282774.988703,67,256,0.613537,12.959507
r8,1790282762.029674,1790282762.642736,1790282774.989133,810,256,0.613062,12.959460
r9,1790282762.031412,1790282762.642740,1790282774.989556,703,256,0.611328,12.958144
r10,1790282762.033276,1790282762.642743,1790282774.990021,5,256,0.609467,12.956745
r11,1790282762.033642,1790282762.642745,1790282774.990645,11,256,0.609104,12.957003
r12,1790282762.033932,1790282762.642749,1790282774.991024,10,256,0.608817,12.957093
r13,1790282762.034208,1790282762.642752,1790282770.668152,10,153,0.608544,8.633945
r14,1790282762.034498,1790282762.642755,1790282774.991808,45,256,0.608257,12.957309
r15,1790282762.034889,1790282762.642758,1790282768.071105,3,89,0.607869,6.036216
r16,1790282762.035155,1790282762.642761,1790282774.992239,77,256,0.607605,12.957084
r17,1790282762.035630,1790282762.642764,1790282774.992660,3,256,0.607134,12.957030
r18,1790282762.035941,1790282763.124481,1790282775.061213,115,256,1.088540,13.025271
r19,1790282762.236325,1790282763.124485,1790282775.061862,102,256,0.888160,12.825538
r20,1790282762.237464,1790282763.124488,1790282775.062820,10,256,0.887024,12.825356
r21,1790282762.237832,1790282763.124490,1790282775.063320,112,256,0.886658,12.825488
r22,1790282762.238514,1790282763.124493,1790282775.063893,15,256,0.885979,12.825379
r23,1790282762.238820,1790282763.124496,1790282775.064543,15,256,0.885677,12.825723
r24,1790282762.239109,1790282763.124499,1790282775.064994,18,256,0.885390,12.825886
r25,1790282762.239413,1790282763.124502,1790282775.065479,6,256,0.885089,12.826065
r26,1790282762.239688,1790282763.124505,1790282775.065896,8,256,0.884817,12.826208
r27,1790282762.239933,1790282763.124508,1790282775.066421,14,256,0.884575,12.826488
r28,1790282762.240177,1790282763.124511,1790282775.069017,5,256,0.884334,12.828840
r29,1790282762.240383,1790282763.124514,1790282775.069329,10,256,0.884131,12.828946
r30,1790282762.240645,1790282763.124517,1790282775.069766,75,256,0.883872,12.829121
r31,1790282762.241136,1790282763.124520,1790282775.070152,985,256,0.883384,12.829016
r32,1790282762.244178,1790282763.124523,1790282775.070687,9,256,0.880345,12.826509
r33,1790282762.244509,1790282763.124526,1790282775.071272,57,256,0.880017,12.826763
r34,1790282762.244960,1790282763.124528,1790282775.071736,10,256,0.879568,12.826776
r35,1790282762.245237,1790282763.124531,1790282775.072312,182,256,0.879295,12.827076
r36,1790282762.246129,1790282763.124534,1790282775.072678,10,256,0.878405,12.826550
r37,1790282762.246403,1790282763.124537,1790282775.084063,10,256,0.878134,12.837660
r38,1790282762.246652,1790282763.598184,1790282775.574775,492,256,1.351532,13.328123
r39,1790282762.248484,1790282763.598187,1790282775.575591,12,256,1.349703,13.327107
r40,1790282762.248800,1790282763.598190,1790282775.576173,173,256,1.349390,13.327373
r41,1790282762.249652,1790282763.598193,1790282775.576745,19,256,1.348541,13.327093
r42,1790282762.249985,1790282763.598196,1790282775.579300,12,256,1.348211,13.329315
