request_id,t_arrival,t_admit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,queue_s,tpot_s,error
pi-0,1790358985.202942,1790358985.207099,1790358985.228725,1790358986.229947,15,38,0.025783,0.004157,0.027060,
pi-1,1790358985.235953,1790358985.239083,1790358985.334388,1790358991.886944,34,256,0.098435,0.003130,0.025696,
pi-2,1790358985.239864,1790358985.244987,1790358985.334394,1790358991.886954,46,256,0.094530,0.005122,0.025696,
pi-3,1790358986.157141,1790358986.157183,1790358986.196755,1790358992.760236,18,256,0.039614,0.000042,0.025739,
pi-4,1790358988.874328,1790358988.877914,1790358988.930283,1790358995.487449,14,256,0.055954,0.003586,0.025714,
pi-5,1790358989.996244,1790358990.000340,1790358990.036726,1790358996.570975,17,256,0.040482,0.004096,0.025625,
pi-6,1790358991.255347,1790358991.255373,1790358991.297889,1790358997.769851,39,256,0.042542,0.000026,0.025380,
pi-7,1790358995.950185,1790358995.954271,1790358995.984703,1790359005.825926,11,256,0.034518,0.004085,0.038593,
pi-8,1790359006.045851,1790359006.045951,1790359006.060138,1790359015.053439,17,256,0.014287,0.000099,0.035268,
pi-9,1790359011.523646,1790359011.525733,1790359011.579153,1790359018.226013,15,256,0.055507,0.002087,0.026066,
pi-10,1790359011.644712,1790359011.644738,1790359011.686976,1790359018.328383,27,256,0.042265,0.000026,0.026045,
pi-11,1790359013.426412,1790359013.428494,1790359013.469993,1790359020.068253,44,256,0.043581,0.002082,0.025876,
pi-12,1790359014.842016,1790359014.843109,1790359014.887364,1790359021.500591,26,256,0.045348,0.001093,0.025934,
pi-13,1790359020.091059,1790359020.093173,1790359020.176818,1790359026.893378,20,256,0.085759,0.002114,0.026339,
pi-14,1790359020.681825,1790359020.684914,1790359020.718653,1790359027.472414,15,256,0.036828,0.003089,0.026485,
pi-15,1790359021.193172,1790359021.193198,1790359021.237715,1790359028.010720,22,256,0.044543,0.000026,0.026561,
pi-16,1790359023.680444,1790359023.680568,1790359023.731121,1790359030.585714,13,256,0.050677,0.000123,0.026881,
pi-17,1790359023.742328,1790359023.742351,1790359023.790196,1790359030.646823,16,256,0.047868,0.000023,0.026889,
pi-18,1790359023.967456,1790359023.970543,1790359024.007252,1790359030.858372,27,256,0.039796,0.003087,0.026867,
pi-19,1790359025.684458,1790359025.686545,1790359025.723151,1790359032.542832,20,256,0.038693,0.002087,0.026744,
pi-20,1790359026.975687,1790359026.980776,1790359027.028826,1790359033.788002,36,256,0.053139,0.005089,0.026507,
pi-21,1790359029.871923,1790359029.873008,1790359029.914222,1790359036.586709,38,256,0.042299,0.001086,0.026167,
pi-22,1790359030.561182,1790359030.562313,1790359030.616609,1790359037.251844,15,256,0.055427,0.001131,0.026021,
pi-23,1790359031.308092,1790359031.309230,1790359031.353725,1790359037.984851,24,256,0.045633,0.001138,0.026004,
pi-24,1790359034.395253,1790359034.395290,1790359034.427631,1790359041.065424,15,256,0.032378,0.000037,0.026031,
pi-25,1790359037.270194,1790359037.273282,1790359037.304308,1790359044.040656,15,256,0.034113,0.003088,0.026417,
pi-26,1790359037.809970,1790359037.814076,1790359037.849541,1790359044.612246,17,256,0.039571,0.004106,0.026520,
pi-27,1790359038.160390,1790359038.160417,1790359038.215972,1790359044.984188,39,256,0.055582,0.000027,0.026542,
pi-28,1790359040.199433,1790359040.200524,1790359040.243936,1790359047.050027,51,256,0.044503,0.001091,0.026691,
pi-29,1790359041.096655,1790359041.099748,1790359041.148279,1790359047.936947,14,256,0.051623,0.003092,0.026622,
pi-30,1790359042.520797,1790359042.524885,1790359042.560345,1790359049.302988,37,256,0.039548,0.004087,0.026442,
pi-31,1790359044.269120,1790359044.273210,1790359044.311818,1790359050.958725,18,256,0.042698,0.004089,0.026066,
pi-32,1790359046.322657,1790359046.327859,1790359046.379841,1790359053.103127,27,256,0.057184,0.005202,0.026366,
pi-33,1790359051.202632,1790359051.205726,1790359051.264322,1790359057.153198,34,229,0.061690,0.003094,0.025828,
pi-34,1790359051.459258,1790359051.459279,1790359051.495822,1790359058.069128,39,256,0.036564,0.000021,0.025778,
pi-35,1790359053.902409,1790359053.905496,1790359053.949358,1790359062.341873,18,256,0.046948,0.003086,0.032912,
pi-36,1790359055.775446,1790359063.505144,1790359063.519227,1790359075.126526,28,256,7.743780,7.729697,0.045519,
pi-37,1790359058.939468,1790359080.503853,1790359080.517486,1790359092.090360,21,256,21.578017,21.564385,0.045384,
pi-38,1790359059.937621,1790359093.508005,1790359093.523258,1790359105.133965,37,256,33.585637,33.570383,0.045532,
pi-39,1790359060.718520,1790359110.504350,1790359110.519483,1790359122.146409,32,256,49.800963,49.785830,0.045596,
pi-40,1790359062.080483,1790359123.504812,1790359123.518823,1790359135.160498,15,256,61.438340,61.424329,0.045654,
pi-41,1790359062.521266,1790359146.506416,1790359146.521050,1790359157.926245,22,256,83.999784,83.985149,0.044726,
pi-42,1790359063.764471,1790359169.505231,1790359169.518938,1790359170.376378,20,20,105.754467,105.740760,0.045128,
pi-43,1790359063.941688,1790359170.377484,1790359170.410571,1790359175.298956,30,112,106.468883,106.435795,0.044040,
pi-44,1790359066.685993,1790359176.506180,1790359176.537113,1790359186.588385,66,256,109.851120,109.820187,0.039417,
pi-45,1790359070.485336,1790359176.507540,1790359176.899883,1790359186.628977,17,256,106.414546,106.022204,0.038153,
pi-46,1790359071.404991,1790359176.507889,1790359176.899886,1790359186.628989,24,256,105.494895,105.102898,0.038153,
pi-47,1790359076.675802,1790359176.508312,1790359176.899889,1790359186.629000,20,256,100.224087,99.832510,0.038153,
pi-48,1790359076.855731,1790359176.508642,1790359176.899892,1790359186.629008,21,256,100.044160,99.652911,0.038153,
