t,budget,p_1s,p_10s,q,oldest,n_run,arrivals,tokens,tpot,cap,ctrl_ms,info
0.0,100.0,59.404,59.404,0,0.0,0,0,0,0.0,64,0.001,{}
1.0,100.0,71.253,65.329,0,0.0,1,1,14,0.04392,64,0.001,{}
2.0,100.0,99.076,76.578,0,0.0,2,1,64,0.02723,64,0.001,{}
3.0,100.0,99.591,82.331,0,0.0,3,1,103,0.0254,64,0.001,{}
4.001,100.0,99.505,85.766,0,0.0,3,0,117,0.02543,64,0.001,{}
5.001,100.0,99.546,88.063,0,0.0,4,1,139,0.02572,64,0.001,{}
6.001,100.0,99.563,89.705,0,0.0,4,0,156,0.02585,64,0.001,{}
7.0,100.0,99.329,90.908,0,0.0,7,3,167,0.02659,64,0.001,{}
8.001,100.0,99.558,91.87,0,0.0,6,1,255,0.02725,64,0.001,{}
9.001,100.0,99.562,92.639,0,0.0,7,1,250,0.02702,64,0.001,{}
10.001,100.0,99.461,93.259,0,0.0,7,1,235,0.02682,64,0.001,{}
11.0,100.0,99.586,93.786,0,0.0,7,0,259,0.02702,64,0.001,{}
12.0,100.0,99.498,94.226,0,0.0,7,1,248,0.02719,64,0.001,{}
13.001,100.0,99.531,94.605,0,0.0,8,1,285,0.02721,64,0.001,{}
14.001,100.0,99.528,94.933,0,0.0,5,0,269,0.02718,64,0.001,{}
15.001,100.0,99.52,95.22,0,0.0,4,0,161,0.0261,64,0.001,{}
16.0,100.0,99.584,95.476,0,0.0,3,0,122,0.0257,64,0.001,{}
17.001,100.0,99.53,95.701,0,0.0,3,1,103,0.02578,64,0.001,{}
18.0,100.0,99.511,95.902,0,0.0,3,0,117,0.02565,64,0.001,{}
19.001,100.0,99.525,96.083,0,0.0,1,0,88,0.0254,64,0.001,{}
20.001,100.0,98.722,98.049,0,0.0,2,1,37,0.03503,64,0.001,{}
21.0,100.0,99.568,99.465,0,0.0,2,0,80,0.02529,64,0.001,{}
22.001,100.0,99.558,99.489,0,0.0,2,0,78,0.02531,64,0.001,{}
23.0,100.0,99.444,99.481,0,0.0,1,0,50,0.02979,64,0.001,{}
24.001,100.0,99.253,99.469,0,0.0,1,0,22,0.04446,64,0.001,{}
25.0,100.0,98.676,99.425,0,0.0,2,2,58,0.0293,64,0.001,{}
26.001,100.0,99.432,99.419,0,0.0,3,1,94,0.02573,64,0.001,{}
27.0,100.0,99.531,99.429,0,0.0,3,0,114,0.02572,64,0.001,{}
28.0,100.0,99.568,99.429,0,0.0,3,0,117,0.02564,64,0.001,{}
29.001,100.0,99.428,99.423,0,0.0,4,1,129,0.02601,64,0.001,{}
30.0,100.0,99.534,99.426,0,0.0,4,0,152,0.02614,64,0.001,{}
31.0,100.0,99.54,99.424,0,0.0,4,0,152,0.02625,64,0.001,{}
