request_id,t_arrival,t_admit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,queue_s,tpot_s,error
static64-0,1790362332.063966,1790362332.067150,1790362332.099717,1790362339.036995,17,256,0.035750,0.003184,0.027205,
static64-1,1790362332.919987,1790362332.923082,1790362332.973348,1790362339.581683,18,256,0.053361,0.003095,0.025915,
static64-2,1790362334.099232,1790362334.103337,1790362334.137537,1790362340.818159,25,256,0.038305,0.004105,0.026199,
static64-3,1790362336.121319,1790362336.123399,1790362336.149432,1790362342.948017,22,256,0.028113,0.002081,0.026661,
static64-4,1790362338.353924,1790362338.357005,1790362338.400988,1790362345.318237,13,256,0.047064,0.003082,0.027126,
static64-5,1790362338.441066,1790362338.445148,1790362338.489204,1790362345.399980,29,256,0.048138,0.004082,0.027101,
static64-6,1790362338.693705,1790362338.693725,1790362338.735666,1790362345.641029,16,256,0.041961,0.000020,0.027080,
static64-7,1790362338.981697,1790362338.983924,1790362339.037022,1790362345.931949,23,256,0.055325,0.002228,0.027039,
static64-8,1790362339.905942,1790362339.905963,1790362339.952417,1790362346.814708,34,256,0.046474,0.000021,0.026911,
static64-9,1790362341.450742,1790362341.453824,1790362341.485599,1790362348.280817,30,256,0.034858,0.003083,0.026648,
static64-10,1790362343.231928,1790362343.234010,1790362343.274689,1790362349.972880,48,256,0.042761,0.002081,0.026267,
static64-11,1790362343.968472,1790362343.969553,1790362344.006689,1790362350.655665,25,256,0.038218,0.001082,0.026074,
static64-12,1790362348.618024,1790362348.618053,1790362348.661672,1790362356.341074,28,256,0.043648,0.000029,0.030115,
static64-13,1790362351.371851,1790362351.372942,1790362351.423342,1790362354.159192,13,109,0.051491,0.001091,0.025332,
static64-14,1790362356.087332,1790362356.091419,1790362356.160219,1790362362.757454,38,256,0.072888,0.004088,0.025872,
static64-15,1790362356.233745,1790362356.235827,1790362356.263557,1790362362.861892,19,256,0.029812,0.002082,0.025876,
static64-16,1790362357.272334,1790362357.272356,1790362357.310127,1790362363.929128,23,256,0.037793,0.000022,0.025957,
static64-17,1790362360.340838,1790362360.344893,1790362360.395977,1790362367.228969,79,256,0.055139,0.004055,0.026796,
static64-18,1790362362.897446,1790362362.898529,1790362362.937456,1790362370.032028,30,256,0.040010,0.001083,0.027822,
static64-19,1790362363.451104,1790362363.455190,1790362363.483010,1790362370.637315,24,256,0.031906,0.004086,0.028056,
static64-20,1790362363.937346,1790362363.941433,1790362363.981701,1790362365.485544,23,57,0.044355,0.004087,0.026854,
static64-21,1790362364.512684,1790362364.516764,1790362364.556594,1790362371.811265,107,256,0.043910,0.004080,0.028450,
static64-22,1790362364.790056,1790362364.791127,1790362364.823912,1790362372.096698,25,256,0.033856,0.001071,0.028521,
static64-23,1790362365.042231,1790362365.044315,1790362365.097650,1790362372.385372,31,256,0.055419,0.002084,0.028579,
static64-24,1790362365.150979,1790362365.153059,1790362365.184659,1790362372.469065,18,256,0.033680,0.002080,0.028566,
static64-25,1790362365.341242,1790362365.344321,1790362365.375307,1790362372.660577,17,256,0.034065,0.003080,0.028570,
static64-26,1790362366.038810,1790362366.041891,1790362366.092705,1790362370.032058,18,138,0.053895,0.003081,0.028754,
static64-27,1790362366.464934,1790362366.467017,1790362366.513576,1790362370.089308,29,125,0.048642,0.002083,0.028837,
static64-28,1790362367.421981,1790362367.424028,1790362367.479069,1790362374.715225,17,256,0.057088,0.002047,0.028377,
static64-29,1790362367.782493,1790362367.785575,1790362367.828274,1790362371.839639,15,140,0.045781,0.003083,0.028859,
static64-30,1790362367.968508,1790362367.972589,1790362368.003946,1790362375.201743,17,256,0.035438,0.004081,0.028227,
static64-31,1790362368.498492,1790362368.500573,1790362368.550261,1790362375.715696,19,256,0.051769,0.002081,0.028100,
static64-32,1790362370.258751,1790362370.264010,1790362370.321893,1790362377.374645,30,256,0.063142,0.005259,0.027658,
static64-33,1790362370.735947,1790362370.735968,1790362370.780831,1790362377.806701,38,256,0.044883,0.000020,0.027552,
static64-34,1790362371.230415,1790362371.232496,1790362371.264604,1790362378.259924,17,256,0.034189,0.002080,0.027433,
static64-35,1790362372.196411,1790362372.200492,1790362372.241382,1790362378.445233,48,229,0.044971,0.004082,0.027210,
static64-36,1790362375.495707,1790362375.498900,1790362375.550919,1790362382.510019,27,256,0.055212,0.003193,0.027291,
static64-37,1790362376.277275,1790362376.279368,1790362376.331171,1790362383.312636,31,256,0.053895,0.002093,0.027378,
static64-38,1790362376.460034,1790362376.464118,1790362376.497471,1790362383.476897,24,256,0.037438,0.004084,0.027370,
static64-39,1790362378.455394,1790362378.455418,1790362378.501690,1790362385.507524,15,256,0.046296,0.000024,0.027474,
static64-40,1790362378.875052,1790362378.875074,1790362378.922902,1790362385.939193,33,256,0.047851,0.000022,0.027515,
static64-41,1790362379.308749,1790362379.308771,1790362379.350495,1790362386.365835,15,256,0.041746,0.000022,0.027511,
static64-42,1790362379.443445,1790362379.443465,1790362379.496390,1790362386.498172,13,256,0.052945,0.000020,0.027458,
static64-43,1790362380.780690,1790362380.785382,1790362380.840691,1790362387.772769,13,256,0.060001,0.004692,0.027185,
static64-44,1790362381.985718,1790362381.987807,1790362382.034401,1790362388.897852,26,256,0.048683,0.002088,0.026915,
static64-45,1790362383.471009,1790362383.472093,1790362383.504752,1790362390.273929,36,256,0.033743,0.001084,0.026546,
static64-46,1790362387.916392,1790362387.918474,1790362387.952513,1790362395.083062,25,256,0.036122,0.002082,0.027963,
static64-47,1790362388.573705,1790362388.577788,1790362388.630590,1790362390.400929,76,69,0.056885,0.004083,0.026034,
static64-48,1790362391.515035,1790362391.519121,1790362391.573024,1790362398.332597,20,256,0.057989,0.004086,0.026508,
static64-49,1790362392.090693,1790362392.092780,1790362392.139041,1790362398.941028,25,256,0.048348,0.002087,0.026674,
static64-50,1790362394.652322,1790362394.652347,1790362394.684860,1790362401.650170,24,256,0.032538,0.000025,0.027315,
static64-51,1790362395.111567,1790362395.113649,1790362395.160529,1790362402.148369,24,256,0.048961,0.002081,0.027403,
static64-52,1790362395.865598,1790362395.868695,1790362395.899978,1790362402.916299,34,256,0.034380,0.003097,0.027515,
static64-53,1790362396.416006,1790362396.416045,1790362396.461087,1790362403.489406,27,256,0.045081,0.000039,0.027562,
static64-54,1790362396.595083,1790362396.599774,1790362396.652329,1790362400.107452,33,126,0.057246,0.004691,0.027641,
static64-55,1790362397.899555,1790362397.899591,1790362397.944921,1790362404.945179,19,256,0.045366,0.000037,0.027452,
static64-56,1790362398.898127,1790362398.902223,1790362398.941071,1790362405.899520,51,256,0.042944,0.004096,0.027288,
static64-57,1790362398.970029,1790362398.970064,1790362399.024240,1790362405.978414,35,256,0.054211,0.000036,0.027271,
static64-58,1790362401.394871,1790362401.396967,1790362401.456054,1790362408.271926,22,256,0.061184,0.002096,0.026729,
static64-59,1790362402.091413,1790362402.091452,1790362402.148415,1790362408.913517,15,256,0.057002,0.000039,0.026530,
static64-60,1790362406.955733,1790362406.955761,1790362406.986598,1790362413.788553,15,256,0.030865,0.000029,0.026674,
static64-61,1790362409.093480,1790362409.093510,1790362409.149928,1790362414.241516,15,193,0.056448,0.000030,0.026519,
static64-62,1790362409.394100,1790362409.394135,1790362409.425765,1790362412.568987,15,120,0.031665,0.000035,0.026414,
static64-63,1790362410.436429,1790362410.439527,1790362410.470628,1790362416.702607,17,234,0.034199,0.003098,0.026747,
static64-64,1790362412.442763,1790362412.446860,1790362412.481720,1790362419.473890,14,256,0.038957,0.004097,0.027420,
static64-65,1790362413.615596,1790362413.619683,1790362413.652728,1790362416.129945,17,93,0.037132,0.004087,0.026926,
static64-66,1790362413.911864,1790362413.914945,1790362413.947460,1790362421.125376,20,256,0.035596,0.003081,0.028149,
static64-67,1790362414.280314,1790362414.282395,1790362414.320769,1790362421.538843,42,256,0.040455,0.002081,0.028306,
static64-68,1790362415.453069,1790362415.453089,1790362415.498830,1790362422.941739,27,256,0.045761,0.000020,0.029188,
static64-69,1790362415.897769,1790362415.897791,1790362415.937201,1790362423.492763,20,256,0.039432,0.000022,0.029630,
static64-70,1790362417.126756,1790362417.130406,1790362417.183194,1790362425.087527,19,256,0.056438,0.003650,0.030997,
static64-71,1790362417.165545,1790362417.166626,1790362417.216285,1790362420.858171,13,126,0.050740,0.001081,0.029135,
static64-72,1790362417.226488,1790362417.228569,1790362417.274082,1790362425.190052,21,256,0.047593,0.002080,0.031043,
static64-73,1790362417.423460,1790362417.425540,1790362417.472275,1790362425.429230,26,256,0.048814,0.002079,0.031204,
static64-74,1790362418.119331,1790362418.122411,1790362418.173471,1790362426.288688,22,256,0.054140,0.003080,0.031824,
static64-75,1790362419.519249,1790362419.521330,1790362419.559199,1790362427.956279,18,256,0.039949,0.002081,0.032930,
static64-76,1790362419.527793,1790362419.532161,1790362419.591951,1790362427.991445,26,256,0.064158,0.004369,0.032939,
static64-77,1790362419.761161,1790362419.764241,1790362419.802389,1790362428.231498,15,256,0.041228,0.003080,0.033055,
static64-78,1790362419.768597,1790362419.770416,1790362419.833409,1790362428.265350,17,256,0.064812,0.001819,0.033066,
static64-79,1790362420.080488,1790362420.084568,1790362420.130537,1790362428.622836,23,256,0.050048,0.004079,0.033303,
static64-80,1790362420.133673,1790362420.136754,1790362420.193855,1790362428.691828,38,256,0.060182,0.003081,0.033325,
static64-81,1790362420.232332,1790362420.235412,1790362420.288254,1790362428.794589,13,256,0.055922,0.003080,0.033358,
static64-82,1790362421.691416,1790362421.694498,1790362421.749912,1790362430.471692,15,256,0.058495,0.003081,0.034203,
static64-83,1790362422.015817,1790362422.020071,1790362422.082774,1790362430.844236,19,256,0.066957,0.004253,0.034359,
static64-84,1790362422.215955,1790362422.215976,1790362422.267223,1790362431.044833,20,256,0.051268,0.000020,0.034422,
static64-85,1790362422.253452,1790362422.257532,1790362422.301278,1790362431.081968,55,256,0.047826,0.004079,0.034434,
static64-86,1790362422.827016,1790362422.827036,1790362422.874881,1790362431.645778,16,256,0.047865,0.000020,0.034396,
static64-87,1790362422.946924,1790362422.951005,1790362423.011417,1790362431.779426,21,256,0.064493,0.004081,0.034384,
static64-88,1790362423.312659,1790362423.316638,1790362423.387570,1790362432.115410,30,256,0.074910,0.003978,0.034227,
static64-89,1790362423.315555,1790362423.316953,1790362423.387573,1790362432.115420,14,256,0.072017,0.001398,0.034227,
static64-90,1790362423.750904,1790362423.752985,1790362423.801722,1790362432.471164,16,256,0.050818,0.002081,0.033998,
static64-91,1790362424.162680,1790362424.163760,1790362424.218670,1790362432.828230,18,256,0.055990,0.001080,0.033763,
static64-92,1790362424.667049,1790362424.667070,1790362424.736990,1790362433.271037,47,256,0.069941,0.000021,0.033467,
static64-93,1790362425.450618,1790362425.451698,1790362425.500541,1790362433.913542,16,256,0.049923,0.001080,0.032992,
static64-94,1790362426.902134,1790362426.903840,1790362426.972973,1790362435.164264,18,256,0.070839,0.001706,0.032123,
static64-95,1790362427.215009,1790362427.218092,1790362427.282531,1790362435.430940,15,256,0.067522,0.003083,0.031955,
static64-96,1790362427.376718,1790362427.377799,1790362427.423443,1790362431.809778,32,129,0.046725,0.001081,0.034268,
static64-97,1790362428.248821,1790362428.249901,1790362428.301276,1790362433.241980,14,152,0.052455,0.001079,0.032720,
static64-98,1790362428.258355,1790362428.260436,1790362428.301279,1790362436.290987,20,256,0.042924,0.002082,0.031332,
static64-99,1790362428.319610,1790362428.322691,1790362428.376095,1790362436.349102,28,256,0.056485,0.003081,0.031267,
static64-100,1790362428.348932,1790362428.348951,1790362428.412116,1790362432.322532,16,118,0.063184,0.000020,0.033422,
static64-101,1790362431.023543,1790362431.027626,1790362431.082016,1790362438.833070,18,256,0.058473,0.004083,0.030396,
static64-102,1790362431.137294,1790362431.141614,1790362431.206275,1790362438.964719,22,256,0.068981,0.004320,0.030425,
static64-103,1790362431.374574,1790362431.377663,1790362431.444085,1790362439.173948,38,256,0.069510,0.003088,0.030313,
static64-104,1790362432.071633,1790362432.072713,1790362432.115460,1790362438.934380,43,227,0.043827,0.001080,0.030172,
static64-105,1790362432.620976,1790362432.624058,1790362432.679326,1790362440.381232,23,256,0.058350,0.003083,0.030204,
static64-106,1790362433.127623,1790362433.127645,1790362433.183089,1790362440.890930,25,256,0.055466,0.000021,0.030227,
static64-107,1790362433.814228,1790362433.814249,1790362433.854299,1790362441.572875,25,256,0.040070,0.000021,0.030269,
static64-108,1790362435.200292,1790362435.203376,1790362435.256370,1790362442.985990,23,256,0.056078,0.003084,0.030312,
static64-109,1790362435.215917,1790362435.219002,1790362435.256373,1790362442.986006,18,256,0.040455,0.003085,0.030312,
static64-110,1790362435.898123,1790362435.899208,1790362435.958358,1790362442.071574,14,201,0.060235,0.001086,0.030566,
static64-111,1790362436.039191,1790362436.043272,1790362436.080481,1790362443.801443,18,256,0.041290,0.004081,0.030278,
static64-112,1790362436.162220,1790362436.162242,1790362436.202706,1790362443.917089,21,256,0.040486,0.000021,0.030252,
static64-113,1790362436.389807,1790362436.389828,1790362436.441290,1790362442.421327,38,197,0.051483,0.000022,0.030510,
static64-114,1790362437.059666,1790362437.060751,1790362437.119051,1790362444.812148,21,256,0.059385,0.001086,0.030169,
static64-115,1790362437.177490,1790362437.179533,1790362437.237797,1790362441.069414,33,124,0.060306,0.002043,0.031151,
static64-116,1790362437.310281,1790362437.313363,1790362437.364458,1790362445.041961,14,256,0.054177,0.003082,0.030108,
static64-117,1790362437.769480,1790362437.772565,1790362437.823255,1790362445.475022,28,256,0.053776,0.003085,0.030007,
static64-118,1790362438.521847,1790362438.523929,1790362438.564708,1790362446.122410,20,256,0.042860,0.002082,0.029638,
static64-119,1790362439.191266,1790362439.193346,1790362439.232275,1790362446.735936,17,256,0.041010,0.002080,0.029426,
static64-120,1790362439.781653,1790362439.785734,1790362439.833509,1790362447.338334,15,256,0.051856,0.004081,0.029431,
static64-121,1790362440.298168,1790362440.301249,1790362440.349277,1790362447.848396,21,256,0.051109,0.003081,0.029408,
static64-122,1790362442.560506,1790362442.565609,1790362442.623143,1790362450.304149,17,256,0.062637,0.005103,0.030122,
static64-123,1790362442.741283,1790362442.745364,1790362442.804374,1790362450.509375,31,256,0.063090,0.004081,0.030216,
static64-124,1790362443.698683,1790362443.700886,1790362443.739990,1790362451.475348,13,256,0.041307,0.002203,0.030335,
static64-125,1790362443.751195,1790362443.752276,1790362443.801482,1790362451.534958,18,256,0.050287,0.001081,0.030327,
static64-126,1790362444.791717,1790362444.796798,1790362444.842095,1790362452.630963,19,256,0.050379,0.005081,0.030545,
static64-127,1790362445.310343,1790362445.313424,1790362445.360906,1790362453.175843,36,256,0.050564,0.003081,0.030647,
static64-128,1790362446.005473,1790362446.008556,1790362446.059066,1790362453.944195,44,256,0.053592,0.003083,0.030922,
static64-129,1790362446.079396,1790362446.081477,1790362446.122444,1790362454.004838,27,256,0.043048,0.002080,0.030911,
static64-130,1790362446.583961,1790362446.587532,1790362446.647416,1790362454.551289,29,256,0.063455,0.003571,0.030996,
static64-131,1790362446.792718,1790362446.795707,1790362446.856002,1790362450.441764,14,115,0.063284,0.002989,0.031454,
static64-132,1790362446.821344,1790362446.821365,1790362446.856005,1790362454.758979,17,256,0.034661,0.000021,0.030992,
static64-133,1790362446.825820,1790362446.826903,1790362446.893099,1790362454.789066,63,256,0.067280,0.001084,0.030965,
