t,budget,p_1s,p_10s,q,oldest,n_run,arrivals,tokens,tpot,cap,ctrl_ms,info
0.0,100.0,59.404,59.404,0,0.0,0,0,0,0.0,0,6.513,"{""cost"": 1782.1350000000011, ""theta"": 1, ""cap"": 8, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.0, ""gain"": 1.0}"
1.001,100.0,18.418,38.911,1,0.486,0,1,0,0.0,0,14.694,"{""cost"": 1822.1834599708745, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.3, ""gain"": 1.0}"
2.001,100.0,18.396,32.073,1,1.486,0,0,0,0.0,0,13.055,"{""cost"": 1862.231919941748, ""theta"": 8, ""cap"": 8, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.21, ""gain"": 1.0}"
3.001,100.0,18.386,28.651,1,2.486,0,0,0,0.0,0,13.459,"{""cost"": 1902.2803799126214, ""theta"": 8, ""cap"": 8, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.147, ""gain"": 1.0}"
4.001,100.0,18.349,26.591,1,3.486,0,0,0,0.0,0,13.261,"{""cost"": 1942.3288398834948, ""theta"": 4, ""cap"": 8, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.10289999999999999, ""gain"": 1.0}"
5.001,100.0,18.278,25.205,1,4.486,0,0,0,0.0,0,12.824,"{""cost"": 1982.3772998543682, ""theta"": 4, ""cap"": 8, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.07202999999999998, ""gain"": 1.0}"
6.0,100.0,18.26,24.213,1,5.486,0,0,0,0.0,0,12.519,"{""cost"": 2022.4257598252416, ""theta"": 4, ""cap"": 8, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.05042099999999999, ""gain"": 1.0}"
7.001,100.0,18.252,23.468,1,6.486,0,0,0,0.0,0,12.091,"{""cost"": 2062.474219796115, ""theta"": 4, ""cap"": 8, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.03529469999999999, ""gain"": 1.0}"
8.001,100.0,18.314,22.895,1,7.486,0,0,0,0.0,0,15.443,"{""cost"": 2102.5226797669884, ""theta"": 4, ""cap"": 8, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.024706289999999992, ""gain"": 1.0}"
9.0,100.0,18.275,22.433,1,8.485,0,0,0,0.0,0,13.529,"{""cost"": 2142.571139737862, ""theta"": 4, ""cap"": 8, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.017294402999999993, ""gain"": 1.0}"
10.001,100.0,18.501,22.076,2,9.486,0,1,0,0.0,0,17.412,"{""cost"": 2100.848118933334, ""theta"": 8, ""cap"": 8, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.31210608209999996, ""gain"": 1.0}"
11.0,100.0,18.515,21.779,4,10.485,0,2,0,0.0,0,22.642,"{""cost"": 2222.6680596796086, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.8184742574699999, ""gain"": 1.0}"
