t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters
1789696049.226597,0.2000,168.8503,1.001004e+12,1.005115e+12,1.005115e+12,1.000417e+12,5.872026e+08,1.000417e+12,4.697620e+09,0,7,7
1789696049.426597,0.2000,168.5276,1.001025e+12,1.005282e+12,1.005282e+12,1.000417e+12,6.081741e+08,1.000417e+12,4.865393e+09,0,7,7
1789696049.626597,0.2000,168.6428,1.001041e+12,1.005408e+12,1.005408e+12,1.000417e+12,6.239027e+08,1.000417e+12,4.991222e+09,0,7,7
1789696049.826597,0.2000,168.4706,1.001051e+12,1.005492e+12,1.005492e+12,1.000417e+12,6.343885e+08,1.000417e+12,5.075108e+09,0,7,7
1789696050.026597,0.2000,168.2311,8.577048e+11,1.546688e+13,1.543664e+13,8.575003e+11,2.044723e+08,1.543501e+13,1.635779e+09,103,5,6
1789696050.226597,0.2000,167.8920,1.000674e+12,1.002472e+12,1.002472e+12,1.000417e+12,2.569011e+08,1.000417e+12,2.055209e+09,0,7,7
1789696050.426597,0.2000,168.3164,1.000711e+12,1.002766e+12,1.002766e+12,1.000417e+12,2.936013e+08,1.000417e+12,2.348810e+09,0,7,7
1789696050.626597,0.2000,168.3817,1.000711e+12,1.002766e+12,1.002766e+12,1.000417e+12,2.936013e+08,1.000417e+12,2.348810e+09,0,7,7
1789696050.826597,0.2000,168.6636,1.000737e+12,1.002976e+12,1.002976e+12,1.000417e+12,3.198157e+08,1.000417e+12,2.558525e+09,0,7,7
1789696051.026597,0.2000,169.2746,1.000747e+12,1.003059e+12,1.003059e+12,1.000417e+12,3.303014e+08,1.000417e+12,2.642412e+09,0,7,7
1789696051.226597,0.2000,169.8917,1.000763e+12,1.003185e+12,1.003185e+12,1.000417e+12,3.460301e+08,1.000417e+12,2.768241e+09,0,7,7
1789696051.426597,0.2000,169.5489,1.000784e+12,1.003353e+12,1.003353e+12,1.000417e+12,3.670016e+08,1.000417e+12,2.936013e+09,0,7,7
1789696051.626597,0.2000,169.5075,8.578149e+11,8.600169e+11,8.600169e+11,8.575003e+11,3.145728e+08,8.575003e+11,2.516582e+09,0,6,6
1789696051.826597,0.2000,169.3641,1.000821e+12,1.003647e+12,1.003647e+12,1.000417e+12,4.037018e+08,1.000417e+12,3.229614e+09,0,7,7
1789696052.026597,0.2000,169.2260,1.000821e+12,1.003647e+12,1.003647e+12,1.000417e+12,4.037018e+08,1.000417e+12,3.229614e+09,0,7,7
1789696052.226597,0.2000,168.6696,1.000847e+12,1.003856e+12,1.003856e+12,1.000417e+12,4.299162e+08,1.000417e+12,3.439329e+09,0,7,7
1789696052.426598,0.2000,168.6676,1.000857e+12,1.003940e+12,1.003940e+12,1.000417e+12,4.404019e+08,1.000417e+12,3.523215e+09,0,7,7
1789696052.626597,0.2000,168.6264,1.000873e+12,1.004066e+12,1.004066e+12,1.000417e+12,4.561306e+08,1.000417e+12,3.649044e+09,0,7,7
1789696052.826598,0.2000,168.5298,8.579092e+11,8.607718e+11,8.607718e+11,8.575003e+11,4.089446e+08,8.575003e+11,3.271557e+09,0,6,6
1789696053.026597,0.2000,168.3626,1.000894e+12,1.004234e+12,1.004234e+12,1.000417e+12,4.771021e+08,1.000417e+12,3.816817e+09,0,7,7
1789696053.226598,0.2000,168.9153,1.000931e+12,1.004527e+12,1.004527e+12,1.000417e+12,5.138022e+08,1.000417e+12,4.110418e+09,0,7,7
1789696053.426598,0.2000,168.8200,1.000931e+12,1.004527e+12,1.004527e+12,1.000417e+12,5.138022e+08,1.000417e+12,4.110418e+09,0,7,7
1789696053.626598,0.2000,168.7586,1.000957e+12,1.004737e+12,1.004737e+12,1.000417e+12,5.400166e+08,1.000417e+12,4.320133e+09,0,7,7
1789696053.826598,0.2000,168.7095,1.000968e+12,1.004821e+12,1.004821e+12,1.000417e+12,5.505024e+08,1.000417e+12,4.404019e+09,0,7,7
1789696054.026598,0.2000,169.0636,8.579826e+11,8.613590e+11,8.613590e+11,8.575003e+11,4.823450e+08,8.575003e+11,3.858760e+09,0,6,6
1789696054.226598,0.2000,169.0301,1.001004e+12,1.005115e+12,1.005115e+12,1.000417e+12,5.872026e+08,1.000417e+12,4.697620e+09,0,7,7
1789696054.426598,0.2000,169.0910,1.001004e+12,1.005115e+12,1.005115e+12,1.000417e+12,5.872026e+08,1.000417e+12,4.697620e+09,0,7,7
1789696054.626598,0.2000,168.7710,1.001041e+12,1.005408e+12,1.005408e+12,1.000417e+12,6.239027e+08,1.000417e+12,4.991222e+09,0,7,7
1789696054.826598,0.2000,168.6562,1.001041e+12,1.005408e+12,1.005408e+12,1.000417e+12,6.239027e+08,1.000417e+12,4.991222e+09,0,7,7
1789696055.026598,0.2000,168.4365,1.001067e+12,1.005618e+12,1.005618e+12,1.000417e+12,6.501171e+08,1.000417e+12,5.200937e+09,0,7,7
1789696055.226598,0.2000,168.2846,8.580665e+11,8.620301e+11,8.620301e+11,8.575003e+11,5.662310e+08,8.575003e+11,4.529848e+09,0,6,6
1789696055.426598,0.2000,168.1745,1.001088e+12,1.005786e+12,1.005786e+12,1.000417e+12,6.710886e+08,1.000417e+12,5.368709e+09,0,7,7
1789696055.626598,0.2000,168.5651,1.001114e+12,1.005995e+12,1.005995e+12,1.000417e+12,6.973030e+08,1.000417e+12,5.578424e+09,0,7,7
1789696055.826598,0.2000,168.9027,1.001114e+12,1.005995e+12,1.005995e+12,1.000417e+12,6.973030e+08,1.000417e+12,5.578424e+09,0,7,7
1789696056.026598,0.2000,169.1320,1.001151e+12,1.006289e+12,1.006289e+12,1.000417e+12,7.340032e+08,1.000417e+12,5.872026e+09,0,7,7
1789696056.226598,0.2000,169.1891,1.001151e+12,1.006289e+12,1.006289e+12,1.000417e+12,7.340032e+08,1.000417e+12,5.872026e+09,0,7,7
1789696056.426599,0.2000,169.3871,8.581504e+11,8.627012e+11,8.627012e+11,8.575003e+11,6.501171e+08,8.575003e+11,5.200937e+09,0,6,6
1789696056.626598,0.2000,169.2670,1.001188e+12,1.006583e+12,1.006583e+12,1.000417e+12,7.707034e+08,1.000417e+12,6.165627e+09,0,7,7
1789696056.826599,0.2000,169.4360,1.001198e+12,1.006667e+12,1.006667e+12,1.000417e+12,7.811891e+08,1.000417e+12,6.249513e+09,0,7,7
1789696057.026598,0.2000,169.1534,1.001224e+12,1.006876e+12,1.006876e+12,1.000417e+12,8.074035e+08,1.000417e+12,6.459228e+09,0,7,7
1789696057.226599,0.2000,169.1718,1.001224e+12,1.006876e+12,1.006876e+12,1.000417e+12,8.074035e+08,1.000417e+12,6.459228e+09,0,7,7
1789696057.426599,0.2000,169.0988,1.001020e+12,8.623237e+11,8.623237e+11,1.000417e+12,6.029312e+08,8.575003e+11,4.823450e+09,0,6,7
1789696057.626599,0.2000,168.7965,1.000490e+12,4.147017e+12,4.145172e+12,1.000417e+12,7.340032e+07,4.144585e+12,5.872026e+08,22,7,7
1789696057.826599,0.2000,168.8360,1.000506e+12,1.001130e+12,1.001130e+12,1.000417e+12,8.912896e+07,1.000417e+12,7.130317e+08,0,7,7
1789696058.026599,0.2000,169.3538,1.000527e+12,1.001298e+12,1.001298e+12,1.000417e+12,1.101005e+08,1.000417e+12,8.808038e+08,0,7,7
1789696058.226599,0.2000,170.1068,1.000532e+12,1.001340e+12,1.001340e+12,1.000417e+12,1.153434e+08,1.000417e+12,9.227469e+08,0,7,7
1789696058.426599,0.2000,170.6258,1.000564e+12,1.001591e+12,1.001591e+12,1.000417e+12,1.468006e+08,1.000417e+12,1.174405e+09,0,7,7
1789696058.626599,0.2000,171.5463,1.000564e+12,1.001591e+12,1.001591e+12,1.000417e+12,1.468006e+08,1.000417e+12,1.174405e+09,0,7,7
1789696058.826599,0.2000,171.7492,1.000595e+12,1.001843e+12,1.001843e+12,1.000417e+12,1.782579e+08,1.000417e+12,1.426063e+09,0,7,7
1789696059.026599,0.2000,171.8130,8.576576e+11,8.587586e+11,8.587586e+11,8.575003e+11,1.572864e+08,8.575003e+11,1.258291e+09,0,6,6
1789696059.226599,0.2000,171.7807,1.000616e+12,1.002011e+12,1.002011e+12,1.000417e+12,1.992294e+08,1.000417e+12,1.593836e+09,0,7,7
1789696059.426599,0.2000,171.6793,1.000637e+12,1.002179e+12,1.002179e+12,1.000417e+12,2.202010e+08,1.000417e+12,1.761608e+09,0,7,7
1789696059.626599,0.2000,171.6034,1.000642e+12,1.002221e+12,1.002221e+12,1.000417e+12,2.254438e+08,1.000417e+12,1.803551e+09,0,7,7
1789696059.826599,0.2000,171.7534,1.000674e+12,1.002472e+12,1.002472e+12,1.000417e+12,2.569011e+08,1.000417e+12,2.055209e+09,0,7,7
1789696060.026599,0.2000,171.5880,1.000674e+12,1.002472e+12,1.002472e+12,1.000417e+12,2.569011e+08,1.000417e+12,2.055209e+09,0,7,7
1789696060.226599,0.2000,171.4023,1.000705e+12,1.002724e+12,1.002724e+12,1.000417e+12,2.883584e+08,1.000417e+12,2.306867e+09,0,7,7
1789696060.426600,0.2000,171.4831,1.000711e+12,1.002766e+12,1.002766e+12,1.000417e+12,2.936013e+08,1.000417e+12,2.348810e+09,0,7,7
1789696060.626599,0.2000,171.5844,1.000732e+12,1.002934e+12,1.002934e+12,1.000417e+12,3.145728e+08,1.000417e+12,2.516582e+09,0,7,7
1789696060.826600,0.2000,171.3826,8.577834e+11,8.597652e+11,8.597652e+11,8.575003e+11,2.831155e+08,8.575003e+11,2.264924e+09,0,6,6
1789696061.026599,0.2000,171.2473,1.000753e+12,1.003101e+12,1.003101e+12,1.000417e+12,3.355443e+08,1.000417e+12,2.684355e+09,0,7,7
1789696061.226600,0.2000,171.2288,1.000784e+12,1.003353e+12,1.003353e+12,1.000417e+12,3.670016e+08,1.000417e+12,2.936013e+09,0,7,7
1789696061.426600,0.2000,170.9144,1.000784e+12,1.003353e+12,1.003353e+12,1.000417e+12,3.670016e+08,1.000417e+12,2.936013e+09,0,7,7
1789696061.626600,0.2000,170.6447,1.000815e+12,1.003605e+12,1.003605e+12,1.000417e+12,3.984589e+08,1.000417e+12,3.187671e+09,0,7,7
1789696061.826600,0.2000,170.1273,1.000821e+12,1.003647e+12,1.003647e+12,1.000417e+12,4.037018e+08,1.000417e+12,3.229614e+09,0,7,7
1789696062.026600,0.2000,169.8483,8.578620e+11,8.603944e+11,8.603944e+11,8.575003e+11,3.617587e+08,8.575003e+11,2.894070e+09,0,6,6
1789696062.226600,0.2000,169.7573,1.000857e+12,1.003940e+12,1.003940e+12,1.000417e+12,4.404019e+08,1.000417e+12,3.523215e+09,0,7,7
1789696062.426600,0.2000,169.7782,1.000863e+12,1.003982e+12,1.003982e+12,1.000417e+12,4.456448e+08,1.000417e+12,3.565158e+09,0,7,7
1789696062.626600,0.2000,169.6912,1.000894e+12,1.004234e+12,1.004234e+12,1.000417e+12,4.771021e+08,1.000417e+12,3.816817e+09,0,7,7
1789696062.826600,0.2000,169.8569,1.000894e+12,1.004234e+12,1.004234e+12,1.000417e+12,4.771021e+08,1.000417e+12,3.816817e+09,0,7,7
