t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters
1789695914.528823,0.2000,180.0160,1.027189e+12,1.636037e+13,1.636037e+13,1.017857e+12,9.332326e+09,1.628571e+13,7.465861e+10,0,112,7
1789695914.728823,0.2000,179.8240,1.027336e+12,1.636154e+13,1.636154e+13,1.017857e+12,9.479127e+09,1.628571e+13,7.583302e+10,0,112,7
1789695914.928823,0.2000,179.7590,8.808846e+11,1.402667e+13,1.402667e+13,8.724488e+11,8.435794e+09,1.395918e+13,6.748635e+10,0,96,6
1789695915.128823,0.2000,179.8027,1.027871e+12,1.636582e+13,1.636582e+13,1.017857e+12,1.001390e+10,1.628571e+13,8.011121e+10,0,112,7
1789695915.328823,0.2000,179.4780,8.783523e+11,1.752328e+13,1.749620e+13,8.724488e+11,5.903483e+09,1.744898e+13,4.722786e+10,39,81,6
1789695915.528823,0.2000,178.2207,8.741632e+11,7.204513e+13,7.199074e+13,8.724488e+11,1.714422e+09,7.197702e+13,1.371537e+10,399,96,6
1789695915.728823,0.2000,175.8034,1.020075e+12,1.630345e+13,1.630345e+13,1.017857e+12,2.217738e+09,1.628571e+13,1.774191e+10,0,112,7
1789695915.928823,0.2000,175.4343,8.745564e+11,1.397604e+13,1.397604e+13,8.724488e+11,2.107638e+09,1.395918e+13,1.686110e+10,0,96,6
1789695916.128823,0.2000,175.3396,1.019933e+12,1.965044e+13,1.964671e+13,1.017857e+12,2.076180e+09,1.963010e+13,1.660944e+10,24,111,7
1789695916.328823,0.2000,175.8409,1.020200e+12,1.630446e+13,1.630446e+13,1.017857e+12,2.343567e+09,1.628571e+13,1.874854e+10,0,112,7
1789695916.528823,0.2000,177.0545,1.020484e+12,1.630672e+13,1.630672e+13,1.017857e+12,2.626683e+09,1.628571e+13,2.101346e+10,0,112,7
1789695916.728823,0.2000,180.2834,1.020704e+12,1.630849e+13,1.630849e+13,1.017857e+12,2.846884e+09,1.628571e+13,2.277507e+10,0,112,7
1789695916.928823,0.2000,181.4000,1.021008e+12,1.631092e+13,1.631092e+13,1.017857e+12,3.150971e+09,1.628571e+13,2.520777e+10,0,112,7
1789695917.128823,0.2000,182.1908,1.021218e+12,1.631260e+13,1.631260e+13,1.017857e+12,3.360686e+09,1.628571e+13,2.688549e+10,0,112,7
1789695917.328824,0.2000,182.4909,1.021506e+12,1.631490e+13,1.631490e+13,1.017857e+12,3.649044e+09,1.628571e+13,2.919236e+10,0,112,7
1789695917.528823,0.2000,182.2440,8.756312e+11,2.228868e+13,2.227290e+13,8.724488e+11,3.182428e+09,2.224744e+13,2.545943e+10,58,95,6
1789695917.728824,0.2000,182.3512,1.021847e+12,1.631763e+13,1.631763e+13,1.017857e+12,3.989832e+09,1.628571e+13,3.191865e+10,0,112,7
1789695917.928823,0.2000,182.5710,1.022135e+12,1.631994e+13,1.631994e+13,1.017857e+12,4.278190e+09,1.628571e+13,3.422552e+10,0,112,7
1789695918.128824,0.2000,182.4306,1.022350e+12,1.632166e+13,1.632166e+13,1.017857e+12,4.493148e+09,1.628571e+13,3.594519e+10,0,112,7
1789695918.328824,0.2000,182.1103,1.022659e+12,1.632413e+13,1.632413e+13,1.017857e+12,4.802478e+09,1.628571e+13,3.841982e+10,0,112,7
1789695918.528824,0.2000,182.3807,1.022864e+12,1.632577e+13,1.632577e+13,1.017857e+12,5.006950e+09,1.628571e+13,4.005560e+10,0,112,7
1789695918.728824,0.2000,182.0993,1.023157e+12,1.632812e+13,1.632812e+13,1.017857e+12,5.300552e+09,1.628571e+13,4.240441e+10,0,112,7
1789695918.928824,0.2000,181.7430,8.771831e+11,1.399706e+13,1.399706e+13,8.724488e+11,4.734321e+09,1.395918e+13,3.787457e+10,0,96,6
1789695919.128824,0.2000,181.7275,1.023608e+12,1.633172e+13,1.633172e+13,1.017857e+12,5.751439e+09,1.628571e+13,4.601151e+10,0,112,7
1789695919.328824,0.2000,181.5200,1.023582e+12,2.187340e+13,2.185702e+13,1.017857e+12,5.725225e+09,2.181122e+13,4.580180e+10,39,111,7
1789695919.528824,0.2000,180.7654,1.023787e+12,1.633315e+13,1.633315e+13,1.017857e+12,5.929697e+09,1.628571e+13,4.743758e+10,0,112,7
1789695919.728824,0.2000,180.7611,8.777913e+11,1.400192e+13,1.400192e+13,8.724488e+11,5.342495e+09,1.395918e+13,4.273996e+10,0,96,6
1789695919.928824,0.2000,180.8882,1.023933e+12,1.910613e+13,1.909708e+13,1.017857e+12,6.076498e+09,1.904847e+13,4.861198e+10,20,111,7
1789695920.128824,0.2000,180.7407,1.024190e+12,1.633638e+13,1.633638e+13,1.017857e+12,6.333399e+09,1.628571e+13,5.066719e+10,0,112,7
1789695920.328824,0.2000,180.8247,1.024421e+12,1.633822e+13,1.633822e+13,1.017857e+12,6.564086e+09,1.628571e+13,5.251269e+10,0,112,7
1789695920.528824,0.2000,181.4797,8.782789e+11,1.400582e+13,1.400582e+13,8.724488e+11,5.830083e+09,1.395918e+13,4.664066e+10,0,96,6
1789695920.728824,0.2000,181.8243,1.024552e+12,1.998731e+13,1.997448e+13,1.017857e+12,6.695158e+09,1.992091e+13,5.356126e+10,26,111,7
1789695920.928824,0.2000,181.9039,1.024290e+12,1.910958e+13,1.909993e+13,1.017857e+12,6.433014e+09,1.904847e+13,5.146411e+10,20,111,7
1789695921.128824,0.2000,182.0255,1.024568e+12,1.633940e+13,1.633940e+13,1.017857e+12,6.710886e+09,1.628571e+13,5.368709e+10,0,112,7
1789695921.328825,0.2000,181.8744,8.783575e+11,1.400645e+13,1.400645e+13,8.724488e+11,5.908726e+09,1.395918e+13,4.726981e+10,0,96,6
1789695921.528824,0.2000,182.1395,1.025024e+12,1.634305e+13,1.634305e+13,1.017857e+12,7.167017e+09,1.628571e+13,5.733614e+10,0,112,7
1789695921.728825,0.2000,181.9947,1.025260e+12,1.634493e+13,1.634493e+13,1.017857e+12,7.402947e+09,1.628571e+13,5.922357e+10,0,112,7
1789695921.928824,0.2000,181.6760,1.025517e+12,1.634699e+13,1.634699e+13,1.017857e+12,7.659848e+09,1.628571e+13,6.127878e+10,0,112,7
1789695922.128825,0.2000,181.8741,1.025800e+12,1.634925e+13,1.634925e+13,1.017857e+12,7.942963e+09,1.628571e+13,6.354371e+10,0,112,7
1789695922.328825,0.2000,182.1952,8.794218e+11,1.401496e+13,1.401496e+13,8.724488e+11,6.973030e+09,1.395918e+13,5.578424e+10,0,96,6
1789695922.528825,0.2000,182.1279,1.026287e+12,1.635316e+13,1.635316e+13,1.017857e+12,8.430551e+09,1.628571e+13,6.744441e+10,0,112,7
1789695922.728825,0.2000,181.9494,1.026497e+12,1.635483e+13,1.635483e+13,1.017857e+12,8.640266e+09,1.628571e+13,6.912213e+10,0,112,7
1789695922.928825,0.2000,181.4496,8.781845e+11,1.255553e+13,1.255098e+13,8.724488e+11,5.735711e+09,1.250510e+13,4.588569e+10,0,86,6
1789695923.128825,0.2000,181.9504,1.021155e+12,5.548752e+13,5.542688e+13,1.017857e+12,3.297772e+09,5.540050e+13,2.638217e+10,269,112,7
1789695923.328825,0.2000,180.8934,8.754215e+11,1.398296e+13,1.398296e+13,8.724488e+11,2.972713e+09,1.395918e+13,2.378170e+10,0,96,6
1789695923.528825,0.2000,180.8462,1.021532e+12,1.631536e+13,1.631511e+13,1.017857e+12,3.675259e+09,1.628571e+13,2.940207e+10,0,112,7
1789695923.728825,0.2000,180.6457,1.021249e+12,1.835214e+13,1.834856e+13,1.017857e+12,3.392143e+09,1.832142e+13,2.713715e+10,15,111,7
1789695923.928825,0.2000,180.5878,1.021501e+12,1.631486e+13,1.631486e+13,1.017857e+12,3.643802e+09,1.628571e+13,2.915041e+10,0,112,7
1789695924.128825,0.2000,180.0750,1.021779e+12,1.631708e+13,1.631708e+13,1.017857e+12,3.921674e+09,1.628571e+13,3.137339e+10,0,112,7
1789695924.328825,0.2000,180.9409,8.759930e+11,1.398753e+13,1.398753e+13,8.724488e+11,3.544187e+09,1.395918e+13,2.835350e+10,0,96,6
1789695924.528825,0.2000,181.1262,1.022250e+12,1.632086e+13,1.632086e+13,1.017857e+12,4.393533e+09,1.628571e+13,3.514827e+10,0,112,7
1789695924.728825,0.2000,181.7734,1.022486e+12,1.632275e+13,1.632275e+13,1.017857e+12,4.629463e+09,1.628571e+13,3.703570e+10,0,112,7
1789695924.928825,0.2000,182.6730,1.022764e+12,1.632497e+13,1.632497e+13,1.017857e+12,4.907336e+09,1.628571e+13,3.925869e+10,0,112,7
1789695925.128825,0.2000,182.4644,1.022329e+12,1.850802e+13,1.850261e+13,1.017857e+12,4.472177e+09,1.846683e+13,3.577741e+10,16,111,7
1789695925.328825,0.2000,182.4561,8.764701e+11,1.399135e+13,1.399135e+13,8.724488e+11,4.021289e+09,1.395918e+13,3.217031e+10,0,96,6
1789695925.528825,0.2000,182.1539,1.022817e+12,1.632539e+13,1.632539e+13,1.017857e+12,4.959764e+09,1.628571e+13,3.967812e+10,0,112,7
1789695925.728826,0.2000,182.2121,1.023058e+12,1.632732e+13,1.632732e+13,1.017857e+12,5.200937e+09,1.628571e+13,4.160750e+10,0,112,7
1789695925.928825,0.2000,181.7784,1.023315e+12,1.632937e+13,1.632937e+13,1.017857e+12,5.457838e+09,1.628571e+13,4.366270e+10,0,112,7
1789695926.128826,0.2000,182.1835,1.023577e+12,1.633147e+13,1.633147e+13,1.017857e+12,5.719982e+09,1.628571e+13,4.575986e+10,0,112,7
1789695926.328825,0.2000,182.1779,1.023829e+12,1.633348e+13,1.633348e+13,1.017857e+12,5.971640e+09,1.628571e+13,4.777312e+10,0,112,7
1789695926.528826,0.2000,182.3340,8.777860e+11,1.400188e+13,1.400188e+13,8.724488e+11,5.337252e+09,1.395918e+13,4.269801e+10,0,96,6
1789695926.728826,0.2000,182.2695,1.024295e+12,1.633722e+13,1.633722e+13,1.017857e+12,6.438257e+09,1.628571e+13,5.150605e+10,0,112,7
1789695926.928826,0.2000,182.2153,1.024023e+12,1.881526e+13,1.880697e+13,1.017857e+12,6.165627e+09,1.875765e+13,4.932502e+10,18,111,7
1789695927.128826,0.2000,181.7995,1.024185e+12,1.633634e+13,1.633634e+13,1.017857e+12,6.328156e+09,1.628571e+13,5.062525e+10,0,112,7
1789695927.328826,0.2000,181.8067,1.024431e+12,1.633831e+13,1.633831e+13,1.017857e+12,6.574572e+09,1.628571e+13,5.259657e+10,0,112,7
1789695927.528826,0.2000,181.7100,8.777860e+11,1.619055e+13,1.618300e+13,8.724488e+11,5.337252e+09,1.614030e+13,4.269801e+10,16,95,6
1789695927.728826,0.2000,181.7124,1.024306e+12,1.633730e+13,1.633730e+13,1.017857e+12,6.448742e+09,1.628571e+13,5.158994e+10,0,112,7
1789695927.928826,0.2000,182.1327,1.024589e+12,1.633957e+13,1.633957e+13,1.017857e+12,6.731858e+09,1.628571e+13,5.385486e+10,0,112,7
1789695928.128826,0.2000,182.3410,1.024825e+12,1.634145e+13,1.634145e+13,1.017857e+12,6.967788e+09,1.628571e+13,5.574230e+10,0,112,7
1789695928.328826,0.2000,182.5270,8.781111e+11,1.663133e+13,1.662183e+13,8.724488e+11,5.662310e+09,1.657653e+13,4.529848e+10,19,95,6
1789695928.528826,0.2000,182.4481,1.024227e+12,2.494343e+13,2.491575e+13,1.017857e+12,6.370099e+09,2.486479e+13,5.096079e+10,60,111,7
1789695928.728826,0.2000,182.9174,1.024473e+12,1.633864e+13,1.633864e+13,1.017857e+12,6.616515e+09,1.628571e+13,5.293212e+10,0,112,7
1789695928.928826,0.2000,182.7398,8.783261e+11,1.400620e+13,1.400620e+13,8.724488e+11,5.877268e+09,1.395918e+13,4.701815e+10,0,96,6
1789695929.128826,0.2000,182.8974,1.024914e+12,1.634217e+13,1.634217e+13,1.017857e+12,7.056916e+09,1.628571e+13,5.645533e+10,0,112,7
1789695929.328826,0.2000,182.8434,1.025228e+12,1.634468e+13,1.634468e+13,1.017857e+12,7.371489e+09,1.628571e+13,5.897191e+10,0,112,7
1789695929.528826,0.2000,182.9373,1.025428e+12,1.634628e+13,1.634628e+13,1.017857e+12,7.570719e+09,1.628571e+13,6.056575e+10,0,112,7
1789695929.728827,0.2000,182.9167,1.025737e+12,1.634875e+13,1.634875e+13,1.017857e+12,7.880049e+09,1.628571e+13,6.304039e+10,0,112,7
