request_id,t_arrival,t_admit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,queue_s,tpot_s,error
pi-0,1790361642.018959,1790361642.021114,1790361642.053541,1790361649.009884,17,256,0.034582,0.002155,0.027280,
pi-1,1790361642.875274,1790361642.876356,1790361642.911758,1790361649.549311,18,256,0.036484,0.001082,0.026030,
pi-2,1790361644.053906,1790361644.057485,1790361644.110991,1790361650.813951,25,256,0.057085,0.003579,0.026286,
pi-3,1790361646.076094,1790361646.076120,1790361646.111685,1790361652.930569,22,256,0.035591,0.000025,0.026741,
pi-4,1790361648.308804,1790361648.308825,1790361648.341309,1790361655.288795,13,256,0.032505,0.000021,0.027245,
pi-5,1790361648.396466,1790361648.397545,1790361648.429220,1790361655.370710,29,256,0.032754,0.001079,0.027222,
pi-6,1790361648.649361,1790361648.653441,1790361648.699394,1790361655.638942,16,256,0.050034,0.004080,0.027214,
pi-7,1790361648.936520,1790361648.938599,1790361648.978285,1790361655.906951,23,256,0.041765,0.002079,0.027171,
pi-8,1790361649.860664,1790361649.864744,1790361649.894750,1790361656.799565,34,256,0.034086,0.004080,0.027078,
pi-9,1790361651.405954,1790361651.405976,1790361651.455473,1790361658.295226,30,256,0.049519,0.000022,0.026823,
pi-10,1790361653.186240,1790361653.188320,1790361653.227786,1790361659.975806,48,256,0.041546,0.002080,0.026463,
pi-11,1790361653.924055,1790361653.927138,1790361653.972999,1790361660.658525,25,256,0.048943,0.003083,0.026218,
pi-12,1790361658.572707,1790361658.576973,1790361658.629811,1790361666.301696,28,256,0.057104,0.004266,0.030086,
pi-13,1790361661.327210,1790361661.327230,1790361661.383761,1790361664.128475,13,109,0.056551,0.000020,0.025414,
pi-14,1790361666.042846,1790361666.043928,1790361666.081178,1790361672.719919,38,256,0.038332,0.001081,0.026034,
pi-15,1790361666.189051,1790361666.190128,1790361666.242305,1790361672.875079,19,256,0.053254,0.001077,0.026011,
pi-16,1790361667.227302,1790361667.229384,1790361667.275888,1790361673.942801,23,256,0.048586,0.002081,0.026145,
pi-17,1790361670.296117,1790361670.298217,1790361670.352379,1790361677.263845,79,256,0.056262,0.002100,0.027104,
pi-18,1790361672.852517,1790361672.856600,1790361672.905545,1790361680.075815,30,256,0.053028,0.004083,0.028119,
pi-19,1790361673.405200,1790361673.406283,1790361673.457671,1790361680.683268,24,256,0.052470,0.001083,0.028336,
pi-20,1790361673.892261,1790361673.893342,1790361673.942818,1790361675.488176,23,57,0.050558,0.001081,0.027596,
pi-21,1790361674.467261,1790361674.467282,1790361674.511620,1790361681.813302,107,256,0.044359,0.000021,0.028634,
pi-22,1790361674.744585,1790361674.746664,1790361674.781026,1790361682.098160,25,256,0.036442,0.002079,0.028695,
pi-23,1790361674.997597,1790361674.999794,1790361675.051803,1790361682.388428,31,256,0.054207,0.002197,0.028771,
pi-24,1790361675.106552,1790361675.107631,1790361675.154828,1790361682.474356,18,256,0.048276,0.001079,0.028704,
pi-25,1790361675.296697,1790361675.299780,1790361675.350029,1790361682.668708,17,256,0.053332,0.003083,0.028701,
pi-26,1790361675.993320,1790361675.994399,1790361676.036376,1790361679.989078,18,138,0.043056,0.001080,0.028852,
pi-27,1790361676.419640,1790361676.422720,1790361676.459078,1790361680.046797,29,125,0.039438,0.003079,0.028933,
pi-28,1790361677.377098,1790361677.377123,1790361677.430603,1790361684.707691,17,256,0.053505,0.000024,0.028538,
pi-29,1790361677.737550,1790361677.738629,1790361677.775784,1790361685.036407,15,256,0.038234,0.001079,0.028473,
pi-30,1790361677.924020,1790361677.925104,1790361677.982407,1790361685.227076,17,256,0.058386,0.001083,0.028410,
pi-31,1790361678.453171,1790361678.453192,1790361678.508010,1790361685.719970,19,256,0.054839,0.000021,0.028282,
pi-32,1790361680.213747,1790361680.218619,1790361680.277629,1790361687.394497,30,256,0.063882,0.004872,0.027909,
pi-33,1790361680.690538,1790361680.693665,1790361680.745206,1790361687.830869,38,256,0.054669,0.003127,0.027787,
pi-34,1790361681.185227,1790361681.185247,1790361681.233596,1790361688.285259,17,256,0.048369,0.000021,0.027654,
pi-35,1790361682.151940,1790361682.154023,1790361682.217266,1790361688.532368,48,231,0.065326,0.002083,0.027457,
pi-36,1790361685.450604,1790361685.451687,1790361685.499447,1790361692.517630,27,256,0.048843,0.001083,0.027522,
pi-37,1790361686.231629,1790361686.233710,1790361686.284476,1790361693.319992,31,256,0.052847,0.002081,0.027590,
pi-38,1790361686.415626,1790361686.419707,1790361686.459299,1790361693.486873,24,256,0.043674,0.004081,0.027559,
pi-39,1790361688.409856,1790361688.414939,1790361688.447267,1790361695.493243,15,256,0.037410,0.005083,0.027631,
pi-40,1790361688.829472,1790361688.829492,1790361688.875815,1790361695.924525,33,256,0.046344,0.000020,0.027642,
pi-41,1790361689.263845,1790361689.264928,1790361689.319097,1790361696.357239,15,256,0.055251,0.001082,0.027601,
pi-42,1790361689.399088,1790361689.399113,1790361689.434497,1790361696.464495,13,256,0.035409,0.000025,0.027569,
pi-43,1790361690.735087,1790361690.739168,1790361690.783875,1790361697.744904,13,256,0.048789,0.004081,0.027298,
pi-44,1790361691.940125,1790361691.944219,1790361691.982584,1790361698.902398,26,256,0.042460,0.004094,0.027137,
pi-45,1790361693.425406,1790361693.428488,1790361693.458870,1790361700.283473,36,256,0.033463,0.003081,0.026763,
pi-46,1790361697.870900,1790361697.873204,1790361697.926566,1790361705.150850,25,256,0.055666,0.002304,0.028331,
pi-47,1790361698.529063,1790361698.531143,1790361698.579016,1790361700.360667,76,69,0.049953,0.002080,0.026201,
pi-48,1790361701.469595,1790361701.472677,1790361701.549390,1790361708.395792,20,256,0.079795,0.003082,0.026849,
pi-49,1790361702.045944,1790361702.045980,1790361702.092538,1790361708.973222,25,256,0.046594,0.000036,0.026983,
pi-50,1790361704.607321,1790361704.611402,1790361704.659318,1790361711.619905,24,256,0.051997,0.004081,0.027296,
pi-51,1790361705.066153,1790361705.067233,1790361705.119490,1790361712.070933,24,256,0.053338,0.001080,0.027261,
