model,e_bit_j_per_byte,e_flop_pJ_per_flop,p_none,r2_dyn,identifiable,bytes_flops_r,ai_span_ratio,n_bins
Meta-Llama-3-8B,1.1100158048713254e-10,0.8647978349001247,,0.6916313977636129,True,-0.6657995163105264,2170.876343401839,2320
Mistral-7B-v0.1,1.097458105316703e-10,0.8473588582471813,,0.6223269388474502,True,-0.6912934064245265,1747.5330890131831,2331
Qwen2-7B-Instruct,1.1052464990960957e-10,0.863616697361239,,0.6541803089782672,True,-0.7124502338867443,2262.611305586308,2271
gemma-7b,1.1751054592933185e-10,0.9820605005834226,,0.592830595070639,True,-0.5528269037858922,1667.488091441651,2352
