model,e_bit_j_per_byte,e_flop_pJ_per_flop,p_none,r2_dyn,identifiable,bytes_flops_r,ai_span_ratio,n_bins
Qwen2-7B-Instruct,2.2938125054203176e-10,0.19766363318843957,,-42.13477643815217,True,-0.21115502721698085,7706.126125152923,2456
Qwen2.5-3B-Instruct,1.9282858024172394e-10,0.5325121587292059,,-32.46390270507359,True,-0.36032422966199557,None,2055
