request_id,t_submit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,e2e_s
r1,1790283956.970854,1790283957.020787,1790283962.289004,25,111,0.049934,5.318150
r2,1790283962.289027,1790283962.332643,1790283974.619307,14,256,0.043616,12.330281
r3,1790283974.619338,1790283974.669312,1790283987.065553,24,256,0.049975,12.446215
r4,1790283987.065575,1790283987.115884,1790283999.562055,26,256,0.050309,12.496480
r5,1790283999.562077,1790283999.612525,1790284012.088068,38,256,0.050447,12.525990
